Start,End,p95
0,10.039000034332275,505.7
11.54699993133545,21.67899990081787,554.6
23.188999891281128,33.29299998283386,525.2
34.80399990081787,44.90599989891052,527.8
46.41599988937378,56.5239999294281,468.4
58.03099989891052,68.13599991798401,497.0
69.64199995994568,79.75699996948242,488.7
81.26699995994568,91.37299990653992,511.9
92.8840000629425,102.99600005149841,465.4
104.50600004196167,114.61999988555908,461.6
116.12700009346008,126.2409999370575,447.6
127.75,137.8529999256134,507.5
139.3619999885559,149.46600008010864,490.8
150.97499990463257,161.07999992370605,484.0
