#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      285.4   280.5    86.8   140.7   154.4   242.4   293.6   325.4   350.6   382.9   427.3   505.7   890.9  3440.2 11070.2  30018.7    30000  1684248471898  1684248482039
read      317.3   465.7    86.8   137.4   149.6   239.6   295.7   332.1   361.3   397.8   449.6   554.6  2636.5  5730.8 15235.1  29883.6    30005  1684248483547  1684248493679
read      304.7   453.0    86.8   136.8   149.2   237.7   291.5   325.4   353.1   388.2   436.2   525.2  1660.4  4811.9 19335.8  29921.4    30010  1684248495189  1684248505293
read      309.2   427.2    86.8   137.4   149.7   238.7   293.0   327.0   355.2   391.4   438.8   527.8  2140.7  5646.2 12018.6  30066.7    30015  1684248506804  1684248516906
read      282.4   397.1    86.8   132.2   143.5   220.7   268.2   298.0   321.4   353.0   395.9   468.4  1664.7  4898.0 11731.8  30078.6    30020  1684248518416  1684248528524
read      293.8   393.8    86.8   135.4   147.6   231.1   282.7   315.2   340.8   373.0   417.3   497.0  1572.1  4797.1 10102.0  29994.3    30025  1684248530031  1684248540136
read      288.0   388.2    80.4   134.0   145.6   229.2   279.6   311.0   336.2   368.7   412.8   488.7  1223.0  4738.2 11828.4  29917.9    30030  1684248541642  1684248551757
read      301.5   471.7    80.4   135.7   147.9   235.2   287.9   320.1   346.9   382.7   431.4   511.9  1560.6  5110.3 18357.2  30060.9    30035  1684248553267  1684248563373
read      265.6   365.5    86.8   133.0   144.6   225.5   273.9   303.5   326.4   356.9   398.9   465.4   649.2  3732.4 19228.0  30041.7    30040  1684248564884  1684248574996
read      259.3   211.4    80.4   135.8   147.8   226.3   273.4   303.1   325.9   356.2   396.8   461.6   640.1  2656.4  8466.7  29975.4    30045  1684248576506  1684248586620
read      258.7   240.8    86.8   136.2   148.4   227.5   272.7   300.6   321.2   348.5   386.5   447.6   605.0  2671.4 10844.2  30071.1    30050  1684248588127  1684248598241
read      294.0   240.1    86.8   154.7   171.6   263.5   310.8   339.8   363.1   392.4   433.9   507.5   695.2  2610.8  9039.1  30107.4    30055  1684248599750  1684248609853
read      288.0   239.0    80.4   151.0   167.5   259.1   305.6   333.7   355.5   383.4   422.6   490.8   660.9  2843.3  7878.8  30045.7    30060  1684248611362  1684248621466
read      287.7   222.9    80.4   151.2   168.6   260.8   307.2   335.3   357.0   384.1   421.9   484.0   640.1  2526.4  9740.5  30024.5    30065  1684248622975  1684248633080
read      279.0   218.1    86.8   149.5   164.8   251.5   296.5   324.1   345.0   371.6   408.0   469.2   624.2  2556.6  9309.8  30044.6    30070  1684248634590  1684248644699
read      278.4   234.9    86.8   147.1   163.5   250.5   295.2   321.7   342.8   369.5   405.4   470.0   626.5  2740.8  9706.6  29913.7    30075  1684248646206  1684248656315
read      278.8   215.8    86.8   148.4   163.7   251.7   297.3   325.0   346.6   373.8   412.5   477.5   624.8  1996.5 10216.7  30095.4    30080  1684248657827  1684248667939
read      280.2   189.4    80.4   152.8   168.6   255.9   300.5   327.1   347.0   372.7   407.2   467.9   616.7  1908.0  8010.9  30043.4    30085  1684248669450  1684248679566
read      277.7   207.3    80.4   148.4   164.1   250.6   296.1   323.6   345.0   372.4   409.0   469.7   622.4  2454.2  8593.6  30020.1    30090  1684248681075  1684248691185
read      278.5   219.8    86.8   149.3   164.6   251.3   296.8   324.3   345.4   372.5   410.1   473.8   618.8  2255.8  8691.6  30093.7    30095  1684248692691  1684248702795
read      280.6   205.4    80.4   147.1   163.3   252.9   299.0   326.8   347.8   376.4   417.1   486.0   638.5  2379.6  8319.0  30029.1    30100  1684248704306  1684248714405
read      280.0   225.9    86.8   146.8   162.9   252.4   298.2   325.9   347.2   374.2   412.8   475.0   629.5  2549.1  9251.3  30133.0    30105  1684248715918  1684248726027
read      277.3   211.0    80.4   151.0   166.0   251.5   295.8   322.3   343.2   369.5   404.2   464.0   610.6  2190.0  8659.8  30007.6    30110  1684248727537  1684248737647
read      283.7   222.2    86.8   150.0   166.3   256.5   302.6   330.4   351.5   378.5   416.2   481.0   630.8  2432.4 10647.2  30077.6    30115  1684248739154  1684248749255
read      283.6   244.9    86.8   149.1   164.9   253.4   299.3   327.2   348.9   377.8   419.0   489.5   650.8  2699.0 10230.7  30087.9    30120  1684248750763  1684248760872
read      276.6   228.9    86.8   146.5   162.9   249.9   294.7   321.8   343.4   370.1   406.0   468.1   620.2  2178.5  8724.9  30104.7    30125  1684248762383  1684248772497
