Start,End,p95
0,9.055000066757202,522.2
10.561000108718872,20.693000078201294,528.0
22.198999881744385,32.31699991226196,492.7
33.82800006866455,43.937999963760376,545.3
45.44799995422363,55.56399989128113,509.7
57.07599997520447,67.18099999427795,541.3
68.68700003623962,78.79999995231628,535.2
80.30900001525879,90.41700005531311,503.5
91.92799997329712,102.03900003433228,469.6
103.54800009727478,113.67199993133545,499.3
115.17799997329712,125.29500007629395,454.2
126.80299997329712,136.90899991989136,469.9
138.4170000553131,148.52999997138977,470.8
150.03999996185303,160.15300011634827,475.5
