#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      305.4   392.3    80.4   133.1   148.6   254.5   310.7   345.2   373.2   407.2   452.5   522.2   903.5  5170.8 12498.5  30031.5    30000  1684486486911  1684486497055
read      315.6   431.0    86.8   131.0   145.4   258.3   318.7   356.1   384.4   417.1   458.0   528.0  1094.3  5775.8 13522.4  30064.8    30005  1684486498561  1684486508693
read      296.0   382.1    86.8   128.7   142.0   247.7   304.2   339.0   365.3   396.1   433.5   492.7   804.8  5026.4 10912.7  29957.0    30010  1684486510199  1684486520317
read      326.5   463.7    86.8   132.0   147.3   264.8   326.0   364.8   394.2   429.1   472.3   545.3  1281.4  5917.4 15705.7  29962.9    30015  1684486521828  1684486531938
read      309.2   434.5    80.4   129.0   142.8   254.2   312.6   349.0   376.6   408.3   448.6   509.7  1013.8  5768.7 12187.5  30045.0    30020  1684486533448  1684486543564
read      324.9   481.4    86.8   132.1   146.9   261.5   321.6   360.4   390.1   424.9   467.7   541.3  1218.9  6262.3 15762.6  29896.9    30025  1684486545076  1684486555181
read      317.0   439.8    86.8   131.8   146.9   262.0   321.1   359.3   388.3   422.8   465.7   535.2   984.7  5882.8 15157.4  30079.6    30030  1684486556687  1684486566800
read      298.7   398.9    86.8   130.8   145.0   253.0   309.3   344.5   372.4   404.9   444.9   503.5   740.9  5655.9 16327.8  30070.3    30035  1684486568309  1684486578417
read      271.9   211.4    80.4   130.0   143.1   247.4   300.2   332.1   356.2   384.8   419.5   469.6   594.0  1874.4  8625.1  30090.4    30040  1684486579928  1684486590039
read      284.8   282.0    80.4   130.1   143.9   253.9   309.8   344.2   371.4   403.5   442.4   499.3   653.1  3506.3 12043.7  30027.4    30045  1684486591548  1684486601672
read      270.1   261.8    80.4   133.2   148.3   243.8   290.4   317.1   338.2   364.5   399.7   454.2   582.2  3981.6 10859.0  30044.9    30050  1684486603178  1684486613295
read      278.9   219.0    80.4   141.0   157.3   253.5   302.0   331.4   354.2   382.2   418.3   469.9   586.9  2496.9  8617.9  30029.0    30055  1684486614803  1684486624909
read      274.0   244.7    80.4   136.9   153.6   245.7   292.7   322.2   346.0   377.0   417.4   470.8   574.3  2828.7  9629.2  30106.4    30060  1684486626417  1684486636530
