x,llc,y_err_hi,y_err_lo,x_err
29874.600000000002,0.6680666666666666,0.0040333333333334165,0.003566666666666606,140.8017045351375
34968.73333333334,0.6692666666666668,0.020233333333333235,0.02006666666666672,127.61008319616963
39982.933333333334,0.6813666666666667,0.006833333333333371,0.0061666666666666285,75.1623132516134
44879.93333333333,0.6939333333333334,0.004966666666666584,0.004533333333333417,135.27340216514554
49965.533333333326,0.6949,0.004700000000000045,0.0047999999999999545,125.78113266040258
54908.4,0.6868666666666667,0.0028333333333332576,0.0036666666666667425,16.857046004563554
59985.26666666666,0.6864333333333333,0.011966666666666584,0.010333333333333371,93.60028489984921
64971.93333333333,0.6844,0.003,0.002600000000000023,55.00384835021617
69855.8,0.6708666666666667,0.0021333333333333256,0.0032666666666666517,160.0843527644098
74979.86666666665,0.6605333333333333,0.006266666666666651,0.005033333333333303,201.99745872989212
80075.0,0.6563000000000001,0.008199999999999931,0.013000000000000114,166.31016204669618
84982.93333333333,0.6825333333333334,0.03276666666666654,0.026933333333333392,170.3420480484293
89858.56666666665,0.6603333333333333,0.015666666666666627,0.02673333333333335,225.6719374076686
95096.63333333335,0.7218666666666667,0.08143333333333327,0.07156666666666672,156.39086716728207
99687.16666666667,0.8406666666666667,0.09853333333333342,0.06016666666666663,310.11682207409666
104720.5,0.8486333333333334,0.08506666666666672,0.10723333333333335,753.4718441985707
