x,l2,y_err_hi,y_err_lo,x_err
30000.933333333334,0.6682333333333332,0.0027666666666667653,0.0033333333333332577,50.39537015771831
34930.6,0.6749333333333333,0.006766666666666765,0.0038333333333332577,121.25163916417908
39893.99999999999,0.6777666666666666,0.007433333333333394,0.006466666666666697,33.611307621097204
44924.86666666667,0.6821333333333334,0.002666666666666629,0.001533333333333303,106.92134180477552
50040.0,0.684,0.008200000000000046,0.004299999999999955,49.92754750636063
55112.6,0.6738666666666667,0.0014333333333332802,0.001466666666666697,154.65471218168716
59969.666666666664,0.6611666666666667,0.005933333333333394,0.003066666666666606,196.26026937037807
64957.43333333333,0.6573333333333333,0.0037666666666666517,0.007333333333333371,91.67913248571361
69879.90000000001,0.6499333333333333,0.012866666666666674,0.008833333333333257,85.59772193230273
74813.6,0.6301333333333333,0.005466666666666697,0.007133333333333326,224.518952429415
79974.90000000001,0.6337333333333334,0.005766666666666652,0.006633333333333326,35.55573090234884
84945.43333333333,0.6580333333333332,0.07436666666666668,0.046133333333333325,91.82594041627333
90050.03333333333,0.622,0.013299999999999954,0.020899999999999978,110.49689286732652
94981.89999999998,0.6007,0.008299999999999955,0.0115,147.39772725520285
100120.63333333335,0.6098333333333332,0.03056666666666672,0.024533333333333303,23.00876644527771
105026.8,0.7295666666666666,0.06873333333333335,0.07816666666666663,57.6093742371832
108965.93333333335,0.6329666666666667,0.044933333333333283,0.0319666666666667,160.40549658079487
