x,membw,y_err_hi,y_err_lo,x_err
30015.2,0.6851666666666666,0.006933333333333394,0.01216666666666663,139.19367801735987
35010.4,0.6886666666666666,0.005133333333333326,0.005366666666666674,36.30371881777538
39936.666666666664,0.6939666666666667,0.014133333333333326,0.016666666666666743,35.97573256145419
44886.333333333336,0.6984,0.003300000000000068,0.005199999999999932,138.4000481695499
49886.06666666667,0.7008333333333334,0.005566666666666606,0.008833333333333372,186.65758311232142
55039.43333333333,0.6965666666666666,0.00963333333333344,0.0073666666666665605,81.26108129562026
59960.13333333333,0.691,0.0033999999999999773,0.0067999999999999545,122.55518484883791
64871.4,0.6933666666666668,0.021933333333333166,0.02316666666666674,72.80796659706958
69986.8,0.6787666666666665,0.018833333333333487,0.013966666666666584,85.26640604599295
75051.33333333333,0.6840333333333334,0.007266666666666538,0.010833333333333372,92.6167011576915
79830.76666666666,0.6759666666666667,0.01583333333333326,0.009466666666666696,69.85100810534614
85005.4,0.6951999999999999,0.08580000000000007,0.04889999999999998,21.53694500154891
89312.53333333333,0.7397333333333332,0.17146666666666682,0.10253333333333318,1317.8639889356355
94985.09999999999,0.6776333333333333,0.03386666666666668,0.04433333333333337,48.867269209562636
99500.46666666666,0.8633333333333334,0.08086666666666667,0.14443333333333339,426.17284443443407
104925.23333333334,0.8771666666666667,0.055133333333333326,0.06616666666666662,1498.6370510122424
