x,clean,y_err_hi,y_err_lo,x_err
29936.86666666667,0.6629333333333334,0.003166666666666629,0.003433333333333394,89.16284727022581
34930.4,0.6697666666666666,0.003533333333333303,0.0037666666666666517,98.34408980716496
40106.333333333336,0.6764,0.0033999999999999773,0.005,79.5473024893564
44916.0,0.6828666666666667,0.008633333333333212,0.0064666666666668106,89.47334798698671
49934.36666666666,0.6787666666666665,0.0070333333333334165,0.009666666666666515,39.62982883300382
54904.4,0.6696333333333333,0.003966666666666697,0.0064333333333332805,50.28200473330424
60002.86666666667,0.6602333333333332,0.005266666666666765,0.007633333333333212,82.78510332984806
64960.666666666664,0.6545333333333333,0.007066666666666719,0.008633333333333326,82.9101521728986
70108.93333333333,0.6496333333333333,0.008566666666666719,0.00993333333333328,62.80926152513593
74965.53333333334,0.6371,0.007100000000000023,0.006899999999999977,90.17457143415659
80054.90000000001,0.6517666666666667,0.040333333333333256,0.020166666666666742,32.027644309251855
84970.86666666667,0.6189666666666667,0.008633333333333326,0.013666666666666742,73.61802315556365
89854.96666666667,0.6070333333333334,0.004266666666666538,0.005333333333333371,171.5402090861896
95065.73333333334,0.6018666666666667,0.012033333333333302,0.01766666666666663,18.772675177855803
99840.06666666667,0.6406000000000001,0.12189999999999998,0.06220000000000005,190.70147700878752
105498.45000000001,0.6650499999999999,0.20225,0.07344999999999993,967.3520024617026
109548.15,0.62295,0.01125,0.01125,104.15682886878051
