x,l1d,y_err_hi,y_err_lo,x_err
29972.866666666665,0.658,0.0038999999999999773,0.005399999999999977,40.66562840204764
35012.200000000004,0.6606000000000001,0.004299999999999955,0.005700000000000045,153.12517755091807
39960.4,0.6783666666666667,0.0023333333333333713,0.00456666666666672,146.6763784663364
44981.26666666666,0.6788333333333334,0.005766666666666652,0.01133333333333337,62.80010615702494
49951.73333333334,0.6814333333333333,0.006366666666666674,0.011233333333333234,83.8019888387693
54979.9,0.6719666666666666,0.003233333333333462,0.003566666666666606,45.126156494872205
59854.666666666664,0.6626000000000001,0.003600000000000023,0.0018999999999999772,139.51979548914605
64973.19999999999,0.6542666666666667,0.012733333333333348,0.008666666666666628,136.69879297199583
70016.53333333334,0.6404666666666667,0.0008333333333332575,0.001466666666666697,161.61810954634205
74825.33333333333,0.6404666666666666,0.0023333333333333713,0.0016666666666666288,108.56230162138787
79953.86666666667,0.6247666666666667,0.005833333333333371,0.006366666666666674,179.153714260499
84951.03333333333,0.6247333333333334,0.005066666666666606,0.006133333333333326,158.80404067067525
90038.3,0.6075666666666667,0.009033333333333303,0.01106666666666672,68.688936518192
94897.39999999998,0.5943,0.0009999999999998864,0.0008000000000000682,60.49925619377266
100083.89999999998,0.6268666666666667,0.025633333333333327,0.017366666666666673,142.79212163141688
105319.08,0.8692400000000001,0.07815999999999985,0.14274000000000012,1152.538696530404
