canneal,radix,ferret,freqmine,vips,blackscholes,dedup
0.0,0.26536083221435547,27.07503581047058,230.13132786750793,308.8461618423462,469.77401900291443,616.7998068332672
10.38213300704956,25.796896934509277,228.73226881027222,647.2687649726868,336.3713879585266,475.8421308994293,617.8642799854279
16.499380826950073,,,,339.7675838470459,477.91938400268555,621.9868810176849
18.550386905670166,,,,341.878623008728,491.04406094551086,648.3335928916931
20.646116971969604,,,,348.010488986969,497.14467787742615,648.4242708683014
21.681192874908447,,,,349.0451259613037,506.7794358730316,657.0074708461761
23.775207996368408,,,,351.145663022995,508.9474198818207,
29.121291875839233,,,,352.1759979724884,521.0616610050201,
33.25154495239258,,,,354.2641580104828,527.1624529361725,
34.28462886810303,,,,359.3402018547058,545.3025348186493,
36.36141800880432,,,,361.4538199901581,551.4131128787994,
113.00213885307312,,,,362.492155790329,569.5535609722137,
115.11549401283264,,,,364.5990149974823,571.6567249298096,
116.1539158821106,,,,365.63234400749207,572.687695980072,
118.27211999893188,,,,367.73703384399414,574.7684948444366,
119.32145094871521,,,,368.76938796043396,587.8659708499908,
123.44434595108032,,,,370.8613018989563,589.9607357978821,
124.47488689422607,,,,407.121542930603,590.989884853363,
126.57031488418579,,,,413.2344539165497,593.0619928836823,
161.87647891044617,,,,426.34956097602844,605.1596648693085,
174.04924488067627,,,,428.4466829299927,611.2731149196625,
175.0939998626709,,,,437.5333089828491,615.3013098239899,
177.19150590896606,,,,439.6294219493866,,
203.43937301635742,,,,440.6727638244629,,
209.5740349292755,,,,442.74878001213074,,
239.22955679893494,,,,455.86140179634094,,
241.33618879318237,,,,457.9595959186554,,
242.36955285072327,,,,458.98513889312744,,
244.4822428226471,,,,467.1851599216461,,
245.5175838470459,,,,468.23836183547974,,
247.62565994262695,,,,,,
248.65412497520447,,,,,,
256.7691979408264,,,,,,
269.88168501853943,,,,,,
282.0219669342041,,,,,,
287.09986901283264,,,,,,
291.21890902519226,,,,,,
292.2532730102539,,,,,,
294.3409860134125,,,,,,
295.3733639717102,,,,,,
297.4658169746399,,,,,,
307.53331685066223,,,,,,
