#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      355.5   270.2   173.5   242.6   267.8   334.8   358.7   371.5   382.9   396.7   417.5   458.9   593.8  4508.3  9884.9   4969.2     5000  1684407908493  1684407913866
read      373.0   353.8   160.7   226.2   245.5   355.5   390.6   407.8   421.8   435.7   459.5   497.3   618.3  6252.5 13445.7   9948.8    10000  1684407915369  1684407920684
read      366.4   294.9   160.7   219.9   236.3   357.8   403.7   425.4   439.5   457.0   476.7   509.5   595.4  3588.8 12439.5  14978.6    15000  1684407922186  1684407927492
read      367.0   248.8   160.7   214.9   230.5   352.7   409.3   433.7   450.9   468.6   494.7   535.2   664.7  2396.4 12200.4  19982.1    20000  1684407928995  1684407934289
read      358.7   249.7   160.7   212.0   225.6   336.4   401.1   430.8   449.8   469.0   495.6   535.7   629.6  2882.9 11745.6  24891.6    25000  1684407935793  1684407941090
read      359.6   208.3   160.7   212.3   226.3   337.9   400.6   434.1   455.7   478.4   503.8   543.9   643.3  1715.3  8134.4  30141.8    30000  1684407942593  1684407947882
read      347.3   192.2   160.7   208.3   221.4   322.4   383.7   418.1   440.6   464.9   494.1   535.5   632.5  1796.0  8529.0  34815.6    35000  1684407949385  1684407954662
read      346.6   155.5   160.7   209.1   222.3   323.8   384.0   419.7   444.3   469.9   499.3   540.2   626.8   919.4  5590.8  40142.0    40000  1684407956165  1684407961446
read      347.0   215.3   160.7   209.8   222.6   320.0   378.3   413.1   437.8   465.5   497.3   541.1   639.2  1639.6  9231.1  44953.9    45000  1684407962950  1684407968234
read      341.3   223.0   160.7   207.9   220.8   314.1   370.2   403.6   429.5   458.3   490.9   534.1   627.8  1601.0 10006.9  49944.2    50000  1684407969738  1684407975045
read      335.7   178.5   160.7   207.6   220.2   311.5   365.1   397.0   421.8   450.4   483.6   527.5   619.6  1096.7  8464.2  55007.8    55000  1684407976549  1684407981818
read      332.6   150.6   160.7   205.8   217.8   305.3   362.5   397.0   422.3   451.0   485.1   532.7   630.7   993.7  5985.7  59947.0    60000  1684407983323  1684407988603
read      327.4   177.5   148.8   204.5   216.1   297.7   351.4   384.3   409.0   439.3   475.8   525.1   628.2  1298.8  8246.7  65008.8    65000  1684407990107  1684407995393
read      320.2   178.4   148.8   204.0   214.8   291.3   340.7   371.8   396.6   426.8   463.7   511.4   613.3  1246.5  7614.5  69924.2    70000  1684407996897  1684408002173
read      323.8   161.9   160.7   205.1   216.9   297.2   347.9   378.4   401.2   430.6   466.9   515.7   617.9   945.1  5950.7  74861.4    75000  1684408003677  1684408008969
read      312.9   158.8   148.8   202.7   212.7   285.5   332.5   362.1   385.0   413.6   451.0   500.9   593.4  1095.8  6380.3  80027.4    80000  1684408010473  1684408015754
read      316.3   194.3   160.7   203.9   214.7   287.9   334.4   362.7   384.3   411.1   448.1   499.3   607.9  1701.7  7400.7  84857.7    85000  1684408017257  1684408022543
read      308.5   166.5   148.8   202.8   212.9   283.7   328.5   356.0   376.2   401.8   435.7   485.9   576.6   965.3  7406.7  89856.0    90000  1684408024050  1684408029350
read      303.7   168.2   148.8   203.5   213.2   278.5   319.0   343.8   363.8   388.7   423.2   474.2   571.2  1245.8  8178.0  94807.6    95000  1684408030854  1684408036146
read      309.1   164.1   160.7   204.1   214.7   285.8   329.1   355.0   373.5   397.5   428.7   475.4   568.5  1095.4  8136.3 100114.0   100000  1684408037651  1684408042926
read      305.5   124.0   160.7   204.5   214.9   283.1   324.5   349.5   368.6   392.3   423.6   470.3   566.5   985.2  4113.8 104824.2   105000  1684408044430  1684408049706
read      299.3   149.4   160.7   203.4   213.3   278.3   316.3   339.6   357.5   379.1   409.0   457.2   545.3   852.7  6760.8 109884.0   110000  1684408051212  1684408056494
read      312.6   144.6   160.7   207.4   219.7   292.2   333.9   358.7   376.5   398.8   428.3   471.9   572.0  1118.8  5578.1 114950.6   115000  1684408057997  1684408063282
read      304.4   125.9   148.8   205.8   217.8   287.1   325.1   346.9   364.2   384.1   410.1   453.4   540.3   833.9  4662.8 119924.4   120000  1684408064786  1684408070079
read      310.9   143.8   160.7   208.3   221.1   294.0   332.4   354.4   370.3   390.3   415.8   457.4   547.3  1120.5  5850.9 124969.0   125000  1684408071584  1684408076860
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 72.77%,8.59%,100.00%
