#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      370.4   443.0   160.7   237.9   262.8   339.5   366.3   381.7   393.9   407.4   431.0   474.2   606.9  6808.2 19756.3   4922.6     5000  1684407319417  1684407324782
read      382.7   341.6   160.7   220.4   238.2   367.2   411.1   433.0   449.6   467.5   493.5   534.2   639.2  5068.5 14503.8  10022.8    10000  1684407326288  1684407331630
read      382.8   296.3   160.7   214.2   230.3   368.8   429.7   459.7   479.2   499.6   526.1   566.2   659.1  3662.1 13726.0  14863.8    15000  1684407333134  1684407338419
read      388.8   266.6   160.7   214.3   229.6   361.6   436.3   474.9   499.1   526.3   558.4   606.0   715.5  3155.7 11512.1  20055.4    20000  1684407339922  1684407345239
read      391.4   210.9   160.7   212.4   228.8   363.6   436.5   479.3   507.3   539.4   579.2   634.3   738.1  2308.4  8386.6  24960.2    25000  1684407346742  1684407352021
read      400.7   244.5   160.7   213.7   230.2   371.0   445.0   489.7   520.3   554.2   596.7   662.3   787.7  1945.2  9644.4  30013.6    30000  1684407353525  1684407358821
read      402.8   206.0   160.7   214.4   230.8   374.9   444.8   488.2   519.8   556.9   603.7   672.5   818.4  1726.9  6293.7  34898.6    35000  1684407360324  1684407365597
read      402.2   233.4   160.7   214.5   230.6   375.1   441.3   483.1   514.5   553.4   604.4   674.7   801.7  1785.7  8897.7  39861.2    40000  1684407367100  1684407372378
read      402.9   186.6   160.7   215.3   231.5   380.5   447.4   486.8   516.8   554.1   604.4   676.0   798.6  1166.3  7461.7  45067.8    45000  1684407373882  1684407379183
read      400.9   275.2   160.7   213.5   229.2   375.6   439.6   478.3   507.5   545.8   598.8   674.2   801.9  1407.1 13216.8  49922.2    50000  1684407380687  1684407385967
read      394.1   241.6   148.8   210.7   226.0   368.6   433.4   472.9   503.1   540.4   591.0   667.5   799.1  1360.7  9145.0  54991.2    55000  1684407387471  1684407392751
read      384.2   215.5   148.8   209.5   224.4   360.4   423.9   460.9   489.4   524.6   572.8   644.7   780.2  1096.9  8760.3  60092.0    60000  1684407394255  1684407399542
read      382.9   212.5   148.8   208.6   223.6   357.9   422.8   460.7   489.1   523.4   569.7   639.8   779.2  1255.6  9000.5  65217.3    65000  1684407401045  1684407406327
read      387.1   214.8   148.8   208.8   224.2   363.3   429.3   466.9   495.2   529.4   575.7   646.6   782.8  1135.5  9080.6  69613.8    70000  1684407407830  1684407413114
read      386.8   190.1   160.7   210.4   226.2   365.0   429.2   466.7   494.9   528.4   573.0   641.4   773.4  1054.2  7612.0  74985.6    75000  1684407414618  1684407419892
read      383.2   195.2   148.8   209.7   225.5   362.9   424.3   459.6   486.2   518.7   563.0   631.7   766.4  1049.4  8062.1  79787.6    80000  1684407421395  1684407426672
read      383.7   210.5   148.8   211.1   227.5   363.5   422.7   457.6   483.3   513.6   556.1   626.2   760.1  1087.2  9796.6  85229.5    85000  1684407428175  1684407433453
read      378.6   172.8   148.8   211.6   227.9   361.5   417.5   450.1   474.3   505.3   545.6   610.5   736.3  1066.6  6577.5  89749.2    90000  1684407434956  1684407440238
read      449.7   231.2   160.7   241.0   269.3   424.8   495.5   537.8   569.2   605.0   647.9   720.1   870.0  1343.4  9313.8  94599.8    95000  1684407441741  1684407447020
read      591.7   295.8   160.7   322.7   359.1   534.7   679.3   745.6   788.2   833.5   883.3   947.1  1063.2  2069.2 11009.7  99085.0   100000  1684407448523  1684407453815
read      574.7   296.2   160.7   316.4   350.9   529.8   655.9   714.1   753.2   796.1   846.4   911.6  1012.4  2139.8 12410.6 104177.4   105000  1684407455319  1684407460599
read      605.1   284.6   160.7   340.8   369.7   549.8   710.1   765.7   801.9   843.4   890.8   953.7  1068.4  1585.8 10705.4 104557.3   110000  1684407462101  1684407467380
read      599.2   294.2   160.7   336.3   363.6   565.8   706.1   754.8   788.1   825.2   868.8   928.6  1023.5  2172.7 10170.2 106399.0   115000  1684407468883  1684407474166
read      644.8   323.2   173.5   377.7   406.3   544.0   764.4   837.9   879.8   920.6   964.9  1013.9  1109.1  2945.6 11512.3 101132.0   120000  1684407475670  1684407480945
read      668.9   325.1   202.4   399.2   426.6   549.3   815.3   884.8   919.7   955.3   992.6  1043.1  1142.4  2911.1 12609.0  97653.0   125000  1684407482449  1684407487733
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.54%,1.52%,100.00%
