#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      367.2   359.9   160.7   238.7   263.7   341.1   368.0   383.8   395.3   408.7   429.9   468.2   609.5  7559.8 12133.5   4906.2     5000  1684406134413  1684406139774
read      377.2   382.1   160.7   221.4   238.3   359.5   401.0   422.7   436.6   455.9   478.2   517.1   629.2  4327.7 19005.2   9927.2    10000  1684406141278  1684406146599
read      387.0   311.3   160.7   217.1   232.0   367.6   428.3   458.2   478.4   501.0   530.0   573.7   685.5  3964.2 12543.2  15010.4    15000  1684406148103  1684406153387
read      386.0   225.9   160.7   213.9   230.3   363.9   433.9   469.9   494.2   521.2   553.3   604.4   710.6  2218.3 10101.9  19989.8    20000  1684406154891  1684406160199
read      397.7   243.2   160.7   216.6   232.4   368.9   442.4   485.0   513.8   546.9   588.4   645.0   767.3  1860.7  8004.2  24925.8    25000  1684406161702  1684406167019
read      402.7   228.7   160.7   216.9   233.5   377.2   446.0   488.5   518.6   554.4   599.1   661.1   782.1  1436.2  8017.4  30038.1    30000  1684406168523  1684406173831
read      400.5   230.7   160.7   215.7   232.3   377.0   440.2   479.5   508.1   545.4   593.7   662.7   779.0  1363.3  9131.1  35092.0    35000  1684406175334  1684406180609
read      395.5   192.7   160.7   214.4   230.5   369.3   433.2   473.1   505.4   545.6   598.4   670.0   786.6  1100.2  7551.5  39848.1    40000  1684406182113  1684406187399
read      408.8   249.0   160.7   214.0   230.8   383.1   449.2   488.6   518.5   556.8   609.0   684.5   825.2  3390.2 10203.6  44910.4    45000  1684406188903  1684406194205
read      404.8   225.1   160.7   213.4   229.9   381.4   448.0   487.2   517.1   554.6   605.4   677.6   805.6  1824.2  9211.3  50013.3    50000  1684406195710  1684406201003
read      393.6   210.0   148.8   210.2   226.1   368.3   432.7   470.2   500.6   539.3   592.2   671.7   823.8  1331.0  7393.5  55069.2    55000  1684406202506  1684406207784
read      395.5   216.1   160.7   210.8   226.7   371.0   437.4   477.1   505.9   542.6   593.0   669.8   801.2  1199.6  8325.7  59989.0    60000  1684406209287  1684406214563
read      384.3   179.9   160.7   210.6   225.7   359.1   423.6   461.9   491.7   528.5   578.2   652.2   788.0  1109.2  6041.1  65020.2    65000  1684406216067  1684406221346
read      382.8   201.4   160.7   209.8   224.8   359.5   422.1   459.1   487.2   521.7   569.7   643.5   786.6  1070.6  7635.4  69725.6    70000  1684406222850  1684406228134
read      396.2   223.2   160.7   213.9   230.4   373.8   440.6   478.7   506.1   540.7   585.2   650.9   784.6  1121.5  9275.9  74950.8    75000  1684406229637  1684406234922
read      390.8   223.3   148.8   211.9   228.5   370.7   432.1   467.2   494.0   526.5   571.6   641.5   789.8  1088.6  9267.3  79930.2    80000  1684406236426  1684406241707
read      396.7   187.4   160.7   217.2   234.6   377.8   439.3   474.0   500.9   533.5   577.0   642.1   781.6  1098.1  7562.1  84972.2    85000  1684406243211  1684406248483
read      393.2   223.3   160.7   216.8   234.4   374.7   431.3   464.4   490.3   521.6   564.2   631.5   783.1  1313.9  8227.1  89947.2    90000  1684406249986  1684406255273
read      468.1   257.1   160.7   246.0   277.8   439.2   517.6   564.1   597.3   635.5   683.9   754.2   893.7  1342.6  9443.9  95128.8    95000  1684406256776  1684406262061
read      603.9   308.9   160.7   318.3   359.8   543.0   696.6   765.1   808.3   853.8   905.4   973.5  1094.3  2331.2 12608.7  98346.0   100000  1684406263566  1684406268883
read      557.2   269.9   148.8   299.4   334.7   517.7   629.9   686.9   726.3   770.9   824.8   898.4  1016.2  1489.8 10643.7 104663.2   105000  1684406270387  1684406275668
read      656.3   364.5   173.5   375.6   405.5   566.7   777.3   844.3   883.6   923.2   969.0  1024.2  1166.6  3454.0 15334.4  99082.8   110000  1684406277171  1684406282447
read      653.0   334.9   160.7   379.9   409.5   558.4   778.1   846.5   885.5   923.5   968.0  1021.0  1137.6  2594.6 13609.1  99869.2   115000  1684406283951  1684406289229
read      659.5   352.7   173.5   383.8   414.7   566.7   768.2   848.2   894.0   939.1   988.6  1052.1  1163.8  2634.7 15274.9  99123.5   120000  1684406290733  1684406296020
read      648.4   319.1   148.8   378.4   408.2   552.4   754.8   834.4   880.6   927.9   978.8  1041.0  1154.1  2532.8 12359.7 100737.8   125000  1684406297522  1684406302802
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 74.12%,10.61%,100.00%
