#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      379.6   400.4   173.5   247.5   275.5   349.6   378.6   395.7   407.5   425.6   449.5   493.6   692.2  7186.1 15395.9   4901.8     5000  1684406924303  1684406929649
read      372.6   259.9   160.7   219.3   235.7   359.7   406.1   430.1   446.7   464.5   488.4   524.6   618.7  3949.5 11293.0  10015.0    10000  1684406931153  1684406936479
read      397.5   302.3   160.7   217.2   234.0   376.3   441.5   473.3   494.3   517.2   546.0   593.4   710.1  4910.1 12199.6  14982.8    15000  1684406937982  1684406943287
read      393.5   213.7   160.7   213.6   230.5   370.7   441.5   482.2   507.6   538.1   574.7   626.7   731.5  1521.4  8147.7  19947.4    20000  1684406944790  1684406950093
read      409.5   248.7   160.7   210.8   226.4   372.8   452.6   497.6   529.2   566.3   616.5   706.5   947.2  2055.2  9658.9  24951.6    25000  1684406951596  1684406956885
read      403.3   226.9   160.7   207.8   221.2   359.0   438.7   488.4   524.4   569.9   631.8   742.9  1007.6  2321.5  7661.5  29923.2    30000  1684406958389  1684406963675
read      425.1   279.0   160.7   209.3   222.6   364.2   455.3   510.4   552.9   610.3   693.9   873.3  1188.4  2257.6  9775.8  35026.0    35000  1684406965178  1684406970473
read      413.9   296.4   160.7   207.7   220.3   347.0   436.3   493.4   538.8   597.6   681.7   853.8  1206.4  1812.3 12437.8  39995.8    40000  1684406971977  1684406977256
read      417.6   245.6   160.7   208.7   221.9   356.7   452.3   512.6   559.5   617.2   687.3   808.2  1167.6  1717.7  7864.8  45102.8    45000  1684406978759  1684406984045
read      397.9   264.6   160.7   206.0   218.2   343.9   427.6   482.0   526.1   579.5   643.5   741.2  1076.6  1825.1  9551.1  49848.4    50000  1684406985552  1684406990824
read      403.6   259.4   148.8   207.1   220.0   340.8   427.6   484.9   534.3   597.1   671.2   786.3  1132.9  1637.6  8208.9  55142.5    55000  1684406992327  1684406997607
read      405.3   256.9   160.7   208.0   221.4   345.5   430.9   488.4   533.6   589.1   660.8   781.2  1129.0  1805.9  9143.2  59964.4    60000  1684406999110  1684407004399
read      404.1   258.6   148.8   206.2   220.0   344.0   427.5   484.2   530.4   588.7   665.3   790.7  1121.4  1748.4  9144.6  64946.8    65000  1684407005910  1684407011189
read      404.3   307.1   160.7   204.5   215.6   316.0   397.7   453.2   500.1   569.8   688.1   941.9  1462.1  2029.9  8933.3  69931.5    70000  1684407012693  1684407017970
read      395.3   258.0   160.7   206.3   219.2   329.5   406.5   459.3   505.8   570.2   654.2   800.5  1174.9  1862.8  8171.5  75205.4    75000  1684407019475  1684407024745
read      397.1   258.8   148.8   204.9   218.1   332.8   407.2   458.6   503.5   565.1   650.7   810.4  1209.1  1946.3  8365.3  79916.6    80000  1684407026248  1684407031526
read      417.7   276.1   160.7   210.3   224.6   340.8   420.4   475.2   529.4   604.1   708.7   912.0  1351.2  2012.7  8084.5  85087.0    85000  1684407033030  1684407038302
read      426.1   319.2   160.7   211.2   225.8   342.6   422.3   480.9   535.8   612.1   720.3   941.6  1459.6  2402.7 10260.3  89910.8    90000  1684407039806  1684407045081
read      514.1   441.9   160.7   223.1   240.2   345.3   465.7   578.4   684.3   847.1  1053.9  1317.0  2049.8  3019.1 11797.5  94741.2    95000  1684407046584  1684407051876
read      635.0   654.4   160.7   245.1   263.6   337.8   429.9   788.8  1114.2  1395.8  1525.8  1699.5  2635.3  5859.7 15242.7  98526.0   100000  1684407053380  1684407058666
read      674.0   818.0   160.7   261.2   278.3   343.5   413.2   903.3  1337.1  1464.1  1577.1  1720.6  2638.5  9578.7 30318.3  97250.5   105000  1684407060169  1684407065444
read      688.6   928.2   160.7   266.3   283.2   347.3   418.1   843.0  1329.8  1460.2  1577.7  1732.3  2712.5 10710.6 33471.6  95989.4   110000  1684407066948  1684407072232
read      680.8   905.4   160.7   258.8   276.5   346.5   409.7   896.6  1344.2  1468.1  1579.2  1722.0  2673.4 11146.7 31423.0  97023.4   115000  1684407073736  1684407079023
read      702.2  1125.6   173.5   269.9   286.2   348.6   401.4   781.0  1331.2  1468.4  1585.4  1729.7  2714.6 13699.1 34886.1  95107.2   120000  1684407080530  1684407085805
read      664.5   904.9   160.7   255.5   269.9   337.4   399.7   812.6  1292.6  1446.2  1554.9  1708.8  2636.6 11733.0 31588.7  99586.0   125000  1684407087310  1684407092590
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 68.88%,1.01%,100.00%
