#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      372.8   483.1   173.5   240.0   265.8   344.7   372.3   390.1   401.9   419.2   439.3   484.7   610.3  6498.0 17373.5   4914.4     5000  1684407515877  1684407521238
read      375.9   312.3   160.7   221.2   238.0   364.6   407.4   429.6   445.7   464.3   489.9   528.8   623.4  4146.0 12680.0   9943.2    10000  1684407522743  1684407528088
read      380.9   260.5   160.7   215.2   230.7   363.8   423.3   452.6   471.8   495.2   523.0   564.2   657.8  4013.2 10770.2  14955.6    15000  1684407529592  1684407534895
read      393.8   284.6   160.7   218.0   234.0   367.4   439.6   477.3   501.5   529.2   562.3   612.0   728.7  3038.7 10815.6  19884.8    20000  1684407536399  1684407541706
read      400.6   235.4   160.7   219.0   235.2   370.5   447.0   490.8   520.6   554.0   594.5   651.2   758.5  1645.9 11517.6  24996.8    25000  1684407543209  1684407548510
read      397.8   235.1   160.7   213.5   230.4   370.2   438.0   481.8   511.5   547.1   591.3   656.2   778.0  1325.2 10105.7  29938.7    30000  1684407550013  1684407555314
read      400.9   269.1   160.7   214.0   230.5   371.6   437.6   480.1   512.3   551.2   600.7   667.7   783.3  1933.5 11506.6  35064.7    35000  1684407556817  1684407562106
read      406.4   249.9   160.7   213.6   230.5   381.9   448.2   488.0   517.5   555.2   606.2   677.8   804.7  1578.6 11686.4  39847.0    40000  1684407563609  1684407568904
read      404.0   206.3   160.7   214.9   231.4   381.1   446.4   484.7   513.9   551.8   604.8   677.5   796.6  1601.3  8093.4  44910.2    45000  1684407570408  1684407575693
read      401.7   254.4   160.7   212.0   228.0   376.9   442.8   481.9   510.8   548.5   599.5   673.6   797.4  2842.9 10418.1  49975.0    50000  1684407577196  1684407582471
read      399.5   206.2   160.7   210.8   227.1   376.2   442.6   481.4   510.3   547.6   598.0   673.8   805.9  1371.9  8037.1  55047.0    55000  1684407583974  1684407589265
read      390.3   220.7   160.7   209.5   224.8   366.1   431.1   468.7   498.1   534.4   583.1   657.4   791.4  1243.5  8137.1  60074.4    60000  1684407590769  1684407596039
read      400.5   234.2   160.7   213.1   228.7   369.1   436.1   476.4   506.1   543.6   594.3   677.3   878.9  2557.3  7980.4  64955.0    65000  1684407597543  1684407602827
read      392.4   545.7   160.7   211.5   226.9   366.1   431.5   469.8   499.3   534.9   582.6   654.0   794.6  1449.7  8371.9  70136.5    70000  1684407604330  1684407609609
read      386.3   201.2   160.7   210.6   226.1   362.8   427.1   464.8   492.9   526.6   571.2   639.5   783.6  1103.3  8230.6  74910.9    75000  1684407611113  1684407616400
read      382.2   205.8   148.8   210.8   226.1   360.4   422.6   458.4   485.3   518.0   562.1   630.6   758.6  1067.2  8044.1  79785.0    80000  1684407617906  1684407623190
read      384.5   385.4   160.7   212.3   228.2   362.7   422.5   457.8   484.5   516.5   560.2   627.9   769.5  1213.5  8024.6  85040.4    85000  1684407624694  1684407629975
read      390.7   365.0   160.7   215.5   233.0   370.7   428.9   462.6   488.8   520.7   563.9   631.6   782.0  1254.9  7805.1  89757.6    90000  1684407631479  1684407636763
read      422.2   240.6   160.7   225.3   249.2   397.9   461.2   499.9   529.9   566.5   615.0   687.7   838.7  1259.8 10994.9  95145.6    95000  1684407638267  1684407643567
read      470.8   241.6   160.7   243.1   276.9   436.6   522.1   573.3   609.5   651.3   703.6   778.6   902.4  1172.1  9289.9  99791.9   100000  1684407645071  1684407650347
read      659.9   332.2   160.7   390.7   419.7   548.2   795.4   869.0   905.4   940.9   981.7  1028.4  1128.7  2132.2 13186.5  97189.8   105000  1684407651851  1684407657145
read      659.2   433.1   173.5   388.6   417.8   544.8   797.8   870.1   904.7   938.5   978.4  1019.9  1130.6  2651.2 11657.5  98170.2   110000  1684407658649  1684407663927
read      633.3   338.2   173.5   381.0   409.8   524.6   753.0   835.0   875.0   908.1   941.2   993.9  1085.9  2605.5 13391.4 102477.2   115000  1684407665431  1684407670707
read      658.6   333.6   160.7   396.7   427.1   543.8   774.2   873.5   915.0   955.4   993.5  1045.0  1138.7  2911.9 13074.2  99094.0   120000  1684407672210  1684407677504
read      636.8   344.2   173.5   378.8   408.4   528.8   754.1   838.3   880.0   914.5   951.2   999.9  1090.9  3565.6 13236.7 102410.2   125000  1684407679008  1684407684295
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 75.44%,13.37%,100.00%
