#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      383.4   522.4   173.5   238.7   264.8   344.8   373.3   391.4   403.1   421.5   444.8   490.2   712.3  8032.9 19745.8   4964.0     5000  1684406330901  1684406336269
read      380.5   262.1   173.5   222.6   240.1   371.1   416.0   437.6   455.2   473.2   498.6   538.0   641.3  4057.2  8789.1  10010.6    10000  1684406337773  1684406343098
read      387.0   255.0   160.7   218.1   233.7   371.4   432.0   462.7   483.4   505.3   534.4   578.4   688.4  3912.6  8633.1  14965.4    15000  1684406344602  1684406349916
read      385.4   234.3   160.7   215.5   231.2   360.2   432.8   470.5   495.1   522.3   554.5   602.1   699.3  2480.1  9511.4  19953.0    20000  1684406351420  1684406356731
read      399.3   212.5   160.7   215.4   232.8   376.2   447.1   487.4   513.9   544.9   584.0   637.1   747.8  1601.2  8392.5  24887.6    25000  1684406358234  1684406363517
read      399.4   258.3   160.7   215.0   231.3   369.9   438.2   482.1   514.4   551.1   596.5   658.9   765.7  2415.0  9077.9  29910.8    30000  1684406365021  1684406370307
read      403.9   223.5   160.7   213.2   230.1   377.2   444.8   486.3   517.3   555.6   605.0   672.6   796.2  2476.0  9616.6  35083.6    35000  1684406371810  1684406377126
read      407.1   259.7   148.8   213.5   230.1   383.0   449.2   489.2   519.4   558.2   610.5   680.8   803.8  1818.1  8632.4  39879.5    40000  1684406378630  1684406383911
read      403.5   211.1   160.7   214.3   230.9   381.6   446.4   484.3   512.5   549.7   599.9   671.8   794.4  1819.1  7880.0  45157.4    45000  1684406385415  1684406390699
read      406.7   240.6   160.7   213.5   230.0   383.4   450.5   489.0   518.0   555.6   607.3   682.2   810.7  1523.7 10138.3  50113.4    50000  1684406392202  1684406397481
read      400.1   217.3   160.7   214.0   229.2   371.4   438.9   480.1   510.6   550.3   604.2   681.7   839.9  1823.7  8349.2  54902.0    55000  1684406398984  1684406404266
read      395.1   216.5   160.7   211.7   227.2   370.9   435.4   473.0   502.8   540.4   591.7   671.5   815.9  1198.8  8537.2  59773.2    60000  1684406405770  1684406411044
read      390.8   181.5   148.8   209.6   225.2   367.8   434.3   472.7   501.8   538.2   587.3   662.5   791.8  1050.7  6230.2  64894.8    65000  1684406412548  1684406417821
read      384.4   186.4   160.7   208.8   224.0   363.3   427.3   464.0   491.7   524.9   569.5   636.8   772.2  1090.9  7524.6  70125.0    70000  1684406419324  1684406424614
read      396.5   174.9   148.8   211.7   228.4   374.7   443.5   483.2   511.8   547.1   591.9   659.3   777.6  1016.8  6025.3  75107.0    75000  1684406426118  1684406431399
read      394.8   211.3   148.8   211.5   228.6   373.1   436.1   473.0   501.5   536.1   581.9   652.0   788.4  1144.8  9537.2  80044.2    80000  1684406432903  1684406438181
read      382.1   204.2   160.7   210.2   226.4   362.1   420.9   455.8   482.3   514.5   558.3   628.1   759.2  1088.2  7882.1  84821.7    85000  1684406439684  1684406444971
read      402.8   220.7   148.8   219.0   237.8   381.7   443.8   480.5   507.7   541.7   586.1   649.1   782.5  1170.6 10038.0  89927.6    90000  1684406446474  1684406451752
read      388.6   183.3   160.7   215.9   234.1   370.8   426.1   458.8   483.6   514.2   556.7   625.3   765.6  1062.8  7923.2  94744.4    95000  1684406453255  1684406458533
read      469.6   246.0   160.7   243.8   277.8   434.5   515.5   567.9   605.2   647.2   702.2   781.3   912.3  1157.8  8403.6  99877.0   100000  1684406460037  1684406465317
read      654.7   325.9   160.7   380.5   412.4   551.2   767.9   851.1   896.4   939.1   984.6  1040.8  1146.9  3363.5 12305.9  98226.9   105000  1684406466821  1684406472091
read      664.6   353.3   160.7   389.0   419.9   552.7   789.6   872.4   913.6   954.5   995.3  1051.4  1153.3  3074.4 14169.3  97631.6   110000  1684406473594  1684406478878
read      643.6   321.7   173.5   382.1   411.0   537.5   753.6   843.2   889.6   932.8   977.4  1026.6  1122.3  2738.9 11693.2 101001.8   115000  1684406480381  1684406485659
read      664.5   351.3   173.5   400.2   427.9   545.6   788.7   883.3   924.5   963.7  1001.4  1056.6  1156.7  3182.9 13663.1  98429.0   120000  1684406487162  1684406492437
read      659.6   354.4   187.4   397.4   423.3   540.2   795.3   876.8   913.3   950.2   988.8  1037.9  1134.8  3396.7 14771.8  99254.8   125000  1684406493940  1684406499230
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 70.33%,2.01%,100.00%
