x,Core_2_Thread_2,y_err_hi,y_err_lo,x_err
4969.2,0.4613333333333333,0.005866666666666687,0.003433333333333344,28.199999999999818
9975.533333333335,0.4978,0.0045999999999999375,0.004100000000000048,79.73514490695678
15022.533333333335,0.5176666666666666,0.00893333333333346,0.008166666666666655,116.11069431078896
20010.3,0.5301,0.005099999999999993,0.005900000000000016,27.760943787991106
24930.2,0.5388333333333334,0.003666666666666596,0.0031333333333333213,36.84725227204949
29961.13333333333,0.5392666666666667,0.004633333333333267,0.004666666666666597,177.58472156504155
34890.53333333333,0.5410666666666666,0.012333333333333418,0.0067666666666665876,81.92223955272122
40028.26666666667,0.5423666666666667,0.007533333333333281,0.005366666666666631,128.5465415066968
44998.36666666667,0.5442,0.0045000000000000595,0.0030999999999999917,83.42040118180446
49929.76666666666,0.5385,0.00990000000000002,0.005499999999999949,36.084114695159826
54903.1,0.5327666666666667,0.0037333333333332552,0.005266666666666753,97.91256303457739
59997.799999999996,0.5357000000000001,0.0020000000000000018,0.0030000000000000027,55.479005037941945
65122.93333333333,0.5288666666666667,0.0021333333333333204,0.003766666666666696,114.80580705405616
69916.96666666666,0.5197666666666666,0.008633333333333382,0.008366666666666633,148.68202088124852
74936.06666666667,0.5198333333333334,0.008366666666666633,0.004233333333333311,65.23260943219925
79939.46666666666,0.5083666666666667,0.006133333333333213,0.0074666666666667325,93.1820440499805
85095.36666666667,0.4994666666666667,0.0008333333333332416,0.0006666666666667043,206.0779545058939
89919.0,0.49269999999999997,0.011100000000000054,0.006799999999999973,137.3970887610122
94897.46666666667,0.4908333333333334,0.020766666666666656,0.01663333333333339,77.83092787146337
100099.59999999999,0.4805333333333333,0.014966666666666684,0.009833333333333305,44.19592741418719
104862.59999999999,0.46930000000000005,0.00379999999999997,0.0048000000000000265,101.78585363398818
109985.33333333333,0.46046666666666664,0.003433333333333344,0.00326666666666664,89.83303030251858
114893.13333333335,0.4642,0.007699999999999985,0.006500000000000006,56.71554754504114
119788.66666666667,0.4509666666666667,0.006933333333333291,0.009366666666666634,117.84826402341767
124815.06666666667,0.4530666666666667,0.0043333333333333,0.0037666666666666404,198.2233420496558
