#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      363.9   365.7   173.5   245.1   269.7   336.4   361.0   374.0   386.9   400.2   424.1   467.2   637.7  6461.9 15266.4   4997.4     5000  1684407711925  1684407717350
read      367.8   286.9   160.7   225.5   244.5   354.5   387.9   404.1   418.3   432.8   455.9   493.7   602.5  4269.2 10240.6  10065.2    10000  1684407718858  1684407724192
read      368.7   234.5   160.7   220.2   236.9   361.5   405.6   427.0   441.4   458.9   480.3   516.9   625.5  2736.8  8312.6  14934.8    15000  1684407725695  1684407730996
read      359.4   215.8   160.7   213.5   228.3   345.2   401.1   426.7   443.7   462.4   486.8   524.2   610.2  3049.3  8786.6  20011.2    20000  1684407732499  1684407737811
read      358.3   222.6   160.7   210.7   224.8   337.8   402.4   432.7   452.2   471.8   498.7   538.3   630.2  2407.3  9989.7  24934.0    25000  1684407739315  1684407744615
read      356.2   222.9   160.7   209.5   223.7   337.1   397.1   428.6   449.2   470.4   497.2   534.6   615.2  2665.7 12142.3  29786.8    30000  1684407746122  1684407751404
read      354.0   256.1   160.7   209.6   223.6   333.4   391.3   424.1   446.0   468.6   495.5   534.3   625.4  1802.5  9390.6  34878.0    35000  1684407752908  1684407758187
read      355.2   198.5   160.7   211.1   224.6   329.7   391.8   427.7   452.8   479.4   507.4   549.9   661.4  1476.7  8455.9  40054.0    40000  1684407759691  1684407764978
read      347.3   175.2   160.7   209.3   222.3   321.8   384.1   418.5   442.6   469.0   499.8   542.8   637.1  1176.3  7433.4  44946.6    45000  1684407766482  1684407771751
read      338.9   197.8   160.7   208.7   221.3   311.5   368.2   402.2   427.9   456.2   488.8   533.0   630.4  1112.2  8469.2  49888.7    50000  1684407773254  1684407778535
read      339.2   181.0   160.7   208.7   221.3   311.6   368.6   401.9   427.8   456.7   490.2   536.5   639.3  1296.6  7991.8  54887.7    55000  1684407780039  1684407785329
read      337.5   227.5   160.7   207.5   220.2   307.0   363.0   396.4   422.2   452.5   488.5   537.7   649.4  1858.5  8571.2  60057.0    60000  1684407786832  1684407792107
read      332.3   175.8   160.7   207.0   219.4   303.9   358.0   390.6   415.2   444.7   481.1   530.5   631.9  1162.6  8105.2  65238.4    65000  1684407793611  1684407798891
read      327.0   193.8   160.7   206.3   218.6   295.9   348.0   381.4   406.3   437.8   477.3   528.4   630.9  1314.0  7361.1  69764.8    70000  1684407800394  1684407805663
read      318.6   159.6   148.8   204.3   214.8   289.1   337.9   368.9   393.5   424.3   463.8   515.6   617.3  1250.4  6414.1  74982.0    75000  1684407807168  1684407812439
read      320.6   169.0   148.8   205.3   216.9   292.0   340.1   370.3   394.1   423.9   462.5   514.5   624.0  1160.9  7279.2  79841.8    80000  1684407813943  1684407819223
read      314.9   145.8   148.8   204.7   215.7   288.2   334.6   363.8   386.1   413.3   449.8   500.3   595.3  1150.7  5614.7  85204.0    85000  1684407820727  1684407826000
read      315.2   185.4   148.8   204.4   215.2   285.9   330.4   358.7   380.6   408.9   448.3   503.8   628.9  1426.2  6933.3  90076.6    90000  1684407827503  1684407832780
read      306.5   139.8   148.8   205.2   215.8   280.8   320.8   346.5   367.9   394.5   430.9   486.7   591.3   984.6  5817.4  94941.6    95000  1684407834285  1684407839551
read      316.6   147.6   160.7   206.0   217.9   291.1   335.0   361.8   382.0   406.8   442.0   495.5   631.5  1441.3  5758.2 100050.0   100000  1684407841055  1684407846329
read      310.8   178.0   160.7   207.2   219.6   288.0   328.3   352.9   371.2   394.7   425.9   473.1   569.5  1389.5  7771.5 104978.0   105000  1684407847833  1684407853129
read      305.0   133.7   148.8   206.2   218.2   284.6   323.1   346.3   365.1   387.5   417.6   463.9   550.9   841.8  6267.0 110055.2   110000  1684407854633  1684407859920
read      306.1   168.6   148.8   205.1   216.4   285.5   325.3   349.2   367.6   389.7   418.3   463.0   555.3  1015.5  6288.1 114891.6   115000  1684407861424  1684407866701
read      302.9   148.4   160.7   205.2   216.3   282.4   319.5   342.3   360.1   381.2   410.0   457.9   559.4  1072.3  5697.1 119729.2   120000  1684407868205  1684407873488
read      303.5   147.1   148.8   206.1   218.1   285.7   322.4   344.7   362.0   381.8   407.1   449.3   536.9   869.9  6541.1 124884.8   125000  1684407874992  1684407880261
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 71.08%,5.03%,100.00%
