#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      377.1   525.4   173.5   240.6   265.2   341.9   369.2   385.7   397.5   413.2   435.1   479.7   634.3  8727.3 18642.0   4954.8     5000  1684405936788  1684405942136
read      383.2   339.7   160.7   222.0   240.0   368.5   413.6   435.5   452.8   470.5   496.8   535.5   638.3  5701.0 14225.8  10016.4    10000  1684405943639  1684405948970
read      384.6   241.7   160.7   217.7   233.0   368.9   433.4   464.2   484.7   506.1   535.2   578.2   690.7  1907.4  8627.5  15000.8    15000  1684405950474  1684405955765
read      390.0   241.4   160.7   216.4   231.2   363.7   439.0   477.2   501.7   530.3   565.1   616.7   722.8  2571.2  9876.9  19942.4    20000  1684405957270  1684405962554
read      393.6   279.0   160.7   214.7   230.8   364.1   437.0   481.2   509.2   541.4   580.4   635.0   745.2  1281.2 11622.0  25044.0    25000  1684405964058  1684405969348
read      405.2   257.7   160.7   217.5   233.3   371.0   445.4   489.7   522.0   560.8   609.1   674.1   794.1  3028.8  9968.8  29986.6    30000  1684405970853  1684405976143
read      412.1   205.4   160.7   217.8   235.4   388.5   457.4   498.9   530.1   568.3   617.2   682.8   801.4  1419.0  8561.1  34928.6    35000  1684405977646  1684405982947
read      412.6   248.7   160.7   220.7   237.9   387.3   455.2   496.6   528.3   567.5   619.2   687.6   801.9  1099.2 11741.1  39968.8    40000  1684405984451  1684405989758
read      401.9   205.6   160.7   216.4   232.5   376.2   441.3   480.7   511.1   550.0   605.1   681.3   806.8  1727.1  6931.8  45073.2    45000  1684405991262  1684405996537
read      408.1   263.8   160.7   215.2   231.6   382.8   450.3   490.5   520.8   558.1   610.5   683.6   818.9  1477.9  9869.2  50042.8    50000  1684405998041  1684406003323
read      390.9   189.5   160.7   213.3   228.4   366.3   429.6   467.8   498.6   537.0   589.7   668.3   799.9  1012.0  8604.5  55141.2    55000  1684406004828  1684406010104
read      398.5   226.4   160.7   212.4   228.3   375.5   441.9   481.4   510.3   546.4   594.8   668.9   799.3  1139.5  9883.0  59897.4    60000  1684406011609  1684406016898
read      391.7   224.1   148.8   209.7   225.1   367.0   432.3   470.3   499.6   535.6   583.7   657.9   799.6  1359.3  9449.6  64998.0    65000  1684406018403  1684406023680
read      394.9   222.7   148.8   210.6   226.7   372.3   439.3   477.6   504.8   539.1   585.3   657.5   795.3  1203.7  9819.8  69970.0    70000  1684406025182  1684406030474
read      393.6   188.3   148.8   210.6   226.7   368.3   434.5   473.9   503.4   539.3   587.4   663.9   833.8  1374.7  7217.0  75143.8    75000  1684406031977  1684406037258
read      392.0   205.2   148.8   213.2   229.6   371.0   433.9   469.3   496.5   529.6   574.8   643.7   793.3  1148.2  7620.7  80038.8    80000  1684406038762  1684406044045
read      382.9   199.7   160.7   211.6   227.8   362.3   421.7   456.2   482.4   514.3   558.0   627.8   760.3  1104.9  8172.2  84984.8    85000  1684406045554  1684406050837
read      391.8   198.6   160.7   213.9   232.2   373.0   430.6   464.1   490.4   523.2   568.7   636.6   775.5  1101.9  8408.0  89960.0    90000  1684406052341  1684406057619
read      416.3   205.9   160.7   224.5   247.7   394.6   457.5   495.6   524.6   559.3   603.7   669.7   805.4  1179.8  8159.5  94999.4    95000  1684406059122  1684406064400
read      477.8   238.9   148.8   236.7   271.4   436.0   512.5   572.1   621.6   678.9   748.1   844.0   981.8  1178.7  7940.3  99850.4   100000  1684406065903  1684406071185
read      667.7   345.4   187.4   395.3   426.7   553.4   787.8   880.4   923.3   964.2  1003.4  1060.1  1161.2  3077.8 12341.3  96411.8   105000  1684406072689  1684406077968
read      628.8   305.0   173.5   353.4   390.6   544.0   716.4   806.9   859.0   906.8   954.8  1010.3  1105.0  2328.3 11435.9 101354.8   110000  1684406079471  1684406084749
read      658.6   349.8   160.7   389.2   417.7   547.6   778.7   862.4   904.9   945.9   990.4  1048.5  1157.3  2848.6 14934.0  99051.4   115000  1684406086253  1684406091529
read      653.3   347.9   173.5   389.2   417.0   543.4   767.9   858.6   902.7   944.6   989.3  1046.8  1152.5  2623.7 14880.4  99984.8   120000  1684406093032  1684406098315
read      645.7   332.7   187.4   382.0   410.3   538.9   764.6   845.6   888.8   929.1   972.3  1017.2  1116.9  2888.5 12833.2 101280.8   125000  1684406099819  1684406105107
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 70.23%,1.51%,100.00%
