#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      366.0   392.2   173.5   241.7   266.9   340.5   368.2   384.8   396.9   412.1   432.7   469.9   597.9  5587.7 16935.2   4934.6     5000  1684406528139  1684406533491
read      381.5   429.1   160.7   219.9   236.9   359.4   405.8   428.7   445.1   464.4   489.7   527.9   637.6  7579.5 23909.9   9984.8    10000  1684406534995  1684406540321
read      383.6   267.9   160.7   214.2   230.3   366.0   430.1   461.2   482.4   505.3   534.6   578.1   678.1  2844.6 12740.3  14935.8    15000  1684406541825  1684406547144
read      402.5   270.5   160.7   213.9   231.5   377.7   451.6   490.9   516.0   543.9   580.1   633.4   749.9  2110.1 11067.7  20040.4    20000  1684406548649  1684406553942
read      399.4   239.3   160.7   210.2   225.6   367.7   443.7   488.5   518.2   551.6   594.3   658.9   808.3  2695.9  9424.2  24985.8    25000  1684406555446  1684406560757
read      406.2   260.2   160.7   208.3   221.5   359.0   440.2   489.1   524.5   569.5   631.4   752.7  1040.2  3205.6  8809.8  29888.9    30000  1684406562263  1684406567558
read      421.2   281.6   160.7   208.4   221.6   362.2   451.2   504.6   545.8   603.0   688.3   866.5  1185.2  1606.5 10048.9  35074.8    35000  1684406569061  1684406574351
read      413.9   237.9   160.7   209.2   222.6   360.3   449.0   504.0   545.6   597.1   669.0   795.7  1142.3  1534.6  6880.7  39883.6    40000  1684406575854  1684406581156
read      420.2   288.9   160.7   208.6   221.5   350.6   444.4   503.7   551.9   615.0   696.4   860.7  1256.2  1717.1  9822.3  45074.2    45000  1684406582659  1684406587938
read      416.1   262.5   160.7   208.1   221.2   353.9   446.9   506.9   554.0   612.5   685.5   813.5  1170.8  1779.0  8275.0  49913.6    50000  1684406589442  1684406594726
read      403.7   234.2   160.7   206.6   219.4   340.0   428.2   485.0   532.4   594.5   673.6   806.3  1169.0  1617.0  7316.5  54787.2    55000  1684406596230  1684406601501
read      404.1   268.8   160.7   207.1   220.5   332.7   417.2   473.1   518.2   576.9   663.2   838.1  1266.6  1953.9  8998.2  59861.4    60000  1684406603005  1684406608276
read      408.8   287.9   160.7   206.9   220.1   328.5   412.7   470.6   518.7   584.2   684.6   890.9  1392.4  1997.0  9624.6  65237.4    65000  1684406609779  1684406615052
read      408.6   279.3   160.7   208.7   222.8   343.9   425.5   480.0   526.3   588.1   669.6   808.8  1214.3  1955.6  9487.5  70119.8    70000  1684406616555  1684406621828
read      398.6   279.8   148.8   204.3   216.5   327.4   409.3   464.8   510.4   573.0   658.3   825.2  1267.7  1820.6 10082.8  74929.4    75000  1684406623332  1684406628618
read      404.6   268.6   148.8   207.2   221.2   340.0   417.6   470.7   519.0   582.5   668.7   826.7  1195.9  1791.6  9044.9  79860.5    80000  1684406630122  1684406635407
read      412.4   281.1   160.7   209.3   223.1   338.5   416.9   469.7   521.0   588.7   687.3   892.0  1326.4  2023.4  8947.5  84869.2    85000  1684406636911  1684406642193
read      416.1   291.6   160.7   211.3   225.3   340.8   416.3   468.1   518.5   589.9   691.1   912.3  1359.9  2044.3  9399.7  90000.0    90000  1684406643698  1684406648974
read      567.2   492.9   160.7   222.8   240.3   366.2   546.6   701.6   846.2  1010.6  1148.8  1474.6  2131.3  3844.9 12252.6  94159.0    95000  1684406650478  1684406655767
read      680.0   791.4   148.8   256.7   276.0   355.1   441.3   932.2  1304.9  1462.4  1581.5  1733.2  2689.6  8079.2 28751.8  94889.5   100000  1684406657271  1684406662542
read      695.1   857.8   160.7   270.0   287.0   353.4   423.8  1017.6  1393.6  1487.5  1599.6  1739.6  2689.3 10017.5 30962.9  94737.8   105000  1684406664046  1684406669327
read      678.9   830.1   160.7   259.8   277.4   345.1   435.2   899.0  1315.6  1459.8  1578.3  1731.4  2671.3 10170.2 30603.2  96977.3   110000  1684406670830  1684406676110
read      627.3   806.1   148.8   241.7   257.6   322.0   398.0   726.3  1071.0  1378.3  1505.2  1677.3  2683.3  8732.0 30312.9 104715.2   115000  1684406677613  1684406682895
read      660.6   889.4   160.7   251.9   266.7   337.9   401.6   815.0  1258.7  1438.2  1551.2  1706.1  2625.9 11250.5 31455.7  99916.6   120000  1684406684398  1684406689682
read      648.8   762.2   160.7   251.2   266.7   335.4   410.3   808.0  1213.5  1426.3  1540.9  1700.3  2647.5  8883.4 25440.8 101161.8   125000  1684406691185  1684406696472
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 71.24%,4.98%,100.00%
