#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      363.1   427.2   173.5   241.5   265.1   336.1   360.5   373.4   385.4   398.2   418.8   457.9   604.5  6292.4 23073.1   4941.0     5000  1684408105434  1684408110814
read      372.9   394.8   173.5   226.6   245.2   359.9   393.6   411.3   425.0   440.1   463.9   502.4   609.4  4165.2 24571.6   9912.6    10000  1684408112319  1684408117641
read      370.8   234.5   160.7   219.7   235.5   362.8   408.2   429.1   444.0   461.8   485.8   526.6   640.9  3622.0  8696.3  15154.2    15000  1684408119144  1684408124453
read      364.1   247.6   160.7   214.7   230.1   351.5   408.3   433.3   450.2   467.7   492.8   530.9   623.4  3238.2  8137.3  20037.6    20000  1684408125956  1684408131279
read      363.2   261.1   160.7   212.2   226.6   341.4   405.6   434.8   454.2   474.5   501.1   542.5   647.6  2089.1 12738.5  24965.0    25000  1684408132782  1684408138086
read      353.2   180.9   160.7   209.2   223.2   331.5   395.4   428.5   449.6   471.0   498.4   539.3   629.6  1545.9  7796.6  29954.8    30000  1684408139589  1684408144878
read      356.9   188.1   160.7   210.3   223.8   332.8   396.8   431.9   455.5   481.0   510.2   553.4   658.5  1688.7  8547.9  34978.0    35000  1684408146383  1684408151677
read      344.2   176.4   148.8   207.9   220.9   318.5   378.1   414.5   439.4   465.5   495.6   537.0   627.2  1928.6  6988.4  39888.8    40000  1684408153181  1684408158455
read      355.3   198.6   160.7   211.0   225.4   334.3   392.7   425.3   448.6   474.7   506.1   548.7   638.5  1456.7  7871.8  45094.6    45000  1684408159959  1684408165247
read      347.8   193.3   160.7   211.0   224.0   319.0   377.0   412.6   439.2   469.5   503.8   548.4   652.9  1725.0  8097.0  49956.4    50000  1684408166750  1684408172027
read      338.2   187.8   160.7   207.2   220.1   312.6   368.7   401.3   426.2   454.9   488.7   534.3   627.8  1070.4  8566.4  54813.8    55000  1684408173532  1684408178832
read      335.3   185.6   160.7   207.8   220.4   307.5   360.9   393.9   419.6   450.4   487.6   536.7   631.5  1197.0  7777.7  59989.4    60000  1684408180335  1684408185614
read      326.2   197.1   160.7   204.9   216.0   293.3   345.5   379.9   407.0   440.5   480.2   531.0   628.6  1477.1  9246.8  65121.6    65000  1684408187117  1684408192397
read      319.8   389.3   148.8   204.3   214.9   289.6   339.3   370.8   396.3   428.6   468.4   519.5   617.3  1108.0  4630.0  70061.9    70000  1684408193900  1684408199198
read      323.6   146.1   148.8   206.3   218.4   292.7   342.8   375.7   401.5   433.4   473.3   528.2   637.7   999.5  6032.1  74964.8    75000  1684408200702  1684408205986
read      311.4   139.3   160.7   203.8   213.9   281.1   325.5   355.9   380.2   412.5   454.9   509.7   617.7  1044.0  5267.0  79949.2    80000  1684408207490  1684408212767
read      310.9   147.6   148.8   203.9   214.0   283.5   328.7   358.0   380.8   409.1   447.0   498.8   590.4   925.1  5693.1  85224.4    85000  1684408214270  1684408219558
read      309.2   176.1   148.8   203.2   213.2   283.0   327.1   354.3   374.4   400.6   435.4   488.4   583.2  1263.5  7741.6  89824.4    90000  1684408221061  1684408226341
read      352.5   463.3   148.8   205.3   217.1   296.6   346.8   376.5   398.6   425.4   460.0   511.6  1022.9  7704.8 12976.5  94943.2    95000  1684408227844  1684408233136
read      305.8   157.0   160.7   204.1   214.4   282.5   324.7   350.4   369.9   393.9   425.2   470.7   562.4  1047.2  7523.7 100134.8   100000  1684408234638  1684408239918
read      301.7   170.1   148.8   203.8   213.5   277.5   317.2   342.0   361.2   384.4   416.1   464.5   557.6  1317.0  7814.0 104785.6   105000  1684408241422  1684408246696
read      300.7   191.7   160.7   204.6   214.8   277.8   315.5   339.2   357.6   380.1   411.2   460.3   552.3   916.7  7535.1 110016.8   110000  1684408248200  1684408253490
read      302.4   141.2   148.8   204.4   214.9   281.5   320.1   343.6   361.6   382.8   411.3   457.7   548.1  1195.9  6045.6 114837.2   115000  1684408254994  1684408260271
read      292.5   114.2   148.8   203.8   213.3   272.7   307.7   329.2   345.4   367.1   395.9   441.6   534.1   867.0  3876.8 119712.4   120000  1684408261774  1684408267074
read      306.2   139.9   148.8   206.9   219.2   289.1   326.6   348.1   365.1   384.9   410.5   452.5   541.1   855.3  6392.5 124591.4   125000  1684408268578  1684408273872
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 75.39%,11.11%,100.00%
