#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      376.2   346.7   173.5   242.7   267.6   352.0   382.5   399.9   413.8   430.3   454.7   499.0   635.2  6136.9 12212.1   4942.0     5000  1684404353825  1684404359224
read      387.7   326.7   160.7   221.6   239.8   371.1   418.5   442.4   460.0   479.6   503.6   544.5   742.4  4177.4 15076.8   9960.8    10000  1684404360730  1684404366068
read      386.8   254.9   160.7   215.5   231.2   368.0   433.7   467.0   488.7   510.9   540.5   584.1   680.9  3686.5 11514.2  15039.2    15000  1684404367572  1684404372898
read      396.9   234.7   160.7   215.0   231.3   373.6   448.6   488.5   513.7   542.7   579.2   631.2   742.3  1521.4  7977.0  19916.6    20000  1684404374402  1684404379700
read      404.7   278.0   160.7   211.0   225.3   362.2   440.1   487.6   521.5   563.2   620.0   721.6   945.8  3835.0 11406.3  24992.4    25000  1684404381204  1684404386496
read      424.3   261.9   160.7   214.0   228.5   380.1   466.0   515.0   549.7   593.2   656.6   786.4  1098.1  1880.9  8929.9  30014.4    30000  1684404388000  1684404393300
read      423.2   288.8   160.7   210.4   223.8   361.1   451.5   506.4   548.8   606.3   689.5   864.4  1186.5  2121.0  9288.6  34914.6    35000  1684404394804  1684404400093
read      422.0   283.8   160.7   209.0   222.0   354.8   447.4   505.0   550.7   611.2   691.9   876.7  1235.7  1835.4 10080.6  39902.0    40000  1684404401598  1684404406880
read      421.2   283.5   148.8   207.0   219.9   344.0   438.8   501.5   552.2   618.4   707.6   901.0  1322.9  2472.6  8752.7  45039.0    45000  1684404408384  1684404413660
read      419.2   268.6   160.7   209.1   223.2   360.3   453.7   515.6   566.5   623.7   690.0   798.2  1093.1  1538.4 10055.4  49805.2    50000  1684404415164  1684404420455
read      405.5   247.7   148.8   206.6   219.6   343.7   431.3   488.4   535.3   594.8   672.7   796.6  1136.1  1629.9  8655.9  54952.8    55000  1684404421959  1684404427237
read      413.5   285.1   148.8   208.2   221.7   336.2   423.6   482.1   531.7   600.5   698.8   883.2  1325.7  1883.8  9238.9  60344.0    60000  1684404428742  1684404434017
read      402.8   260.4   148.8   208.3   221.7   339.0   420.0   473.8   520.6   583.3   666.9   802.0  1162.5  1903.0  8208.4  64937.2    65000  1684404435521  1684404440804
read      405.7   270.1   160.7   208.4   221.5   331.7   413.5   467.0   512.1   575.3   671.4   868.8  1342.8  1861.7  7816.1  69788.2    70000  1684404442308  1684404447588
read      419.1   256.8   160.7   213.3   228.4   358.2   439.0   495.2   541.8   602.5   681.4   822.9  1180.8  2051.5  7796.3  75333.2    75000  1684404449091  1684404454368
read      405.8   267.2   160.7   209.6   223.4   340.8   415.8   466.7   513.2   577.4   663.2   824.0  1234.6  2387.8  8542.0  79913.4    80000  1684404455872  1684404461160
read      426.5   274.1   160.7   216.0   230.4   354.2   435.0   493.8   548.2   619.5   711.5   901.0  1278.1  2034.7  8327.6  85055.4    85000  1684404462664  1684404467943
read      431.1   310.8   160.7   215.0   229.7   349.9   428.8   486.2   538.6   611.4   719.7   949.0  1443.8  2516.5 10253.1  89996.6    90000  1684404469448  1684404474725
read      546.1   462.2   160.7   229.6   247.9   365.3   525.9   650.8   765.7   922.4  1084.7  1352.2  2131.7  3227.7 11034.9  94933.6    95000  1684404476228  1684404481517
read      637.1   671.0   160.7   244.9   264.0   350.1   533.7   785.1  1009.8  1282.9  1485.3  1683.5  2660.4  6416.7 19309.9  98745.8   100000  1684404483020  1684404488302
read      658.5   694.8   160.7   255.5   270.6   342.1   459.2   936.4  1285.1  1443.7  1556.0  1705.8  2498.3  6404.9 22046.2  99088.6   105000  1684404489806  1684404495080
read      653.0   803.9   160.7   255.6   270.4   335.0   406.5   802.7  1206.3  1427.2  1543.7  1702.1  2682.4  8908.6 29870.2 100634.2   110000  1684404496584  1684404501861
read      670.3   840.7   160.7   259.8   277.1   341.9   428.2   859.9  1258.4  1443.6  1563.5  1720.9  2684.7  8785.2 31183.8  98331.4   115000  1684404503367  1684404508647
read      651.1   680.6   160.7   252.2   268.2   345.6   563.8   866.8  1099.1  1370.6  1512.0  1682.0  2544.6  6887.5 18457.9 100435.8   120000  1684404510151  1684404515443
read      666.6   820.0   160.7   257.0   273.5   342.4   431.5   870.6  1243.7  1439.2  1558.1  1711.2  2663.0  8769.5 30622.3  98838.8   125000  1684404516947  1684404522228
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 74.10%,9.60%,100.00%
