#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      371.9   410.0   173.5   243.4   270.1   345.3   370.3   386.0   397.2   412.0   433.8   476.2   632.0  7735.2 16615.1   4940.2     5000  1684405395177  1684405400535
read      374.2   225.7   173.5   227.5   247.7   363.8   398.6   418.4   431.9   450.4   471.7   514.1   630.2  3947.5  7945.5   9927.4    10000  1684405402039  1684405407375
read      382.1   246.1   160.7   221.9   238.6   370.7   418.2   441.1   458.3   477.5   505.0   554.1   765.7  2814.5  9785.0  14929.6    15000  1684405408878  1684405414168
read      376.3   271.0   160.7   218.6   233.0   359.8   418.7   445.6   463.8   485.7   511.1   553.1   680.1  3709.4 12379.7  20086.6    20000  1684405415672  1684405420957
read      368.9   176.5   160.7   214.4   229.0   351.1   418.6   450.1   469.6   492.5   519.1   559.3   655.8  1248.2  6872.3  24818.4    25000  1684405422461  1684405427746
read      357.5   234.6   160.7   210.3   223.8   329.6   397.2   433.2   456.5   481.3   508.5   551.2   659.1  2282.1 11074.2  29993.4    30000  1684405429249  1684405434549
read      353.7   158.0   160.7   210.0   224.0   331.9   394.4   429.8   452.9   477.0   505.1   545.7   636.3  1174.2  7072.7  34947.4    35000  1684405436053  1684405441375
read      353.6   228.4   160.7   209.9   223.2   325.9   388.9   425.9   451.5   478.8   509.2   552.4   652.4  1519.9 10666.9  39981.2    40000  1684405442880  1684405448173
read      348.5   195.7   160.7   208.8   222.0   322.4   382.6   417.8   443.1   470.6   502.6   546.4   641.4  1567.1  8433.7  44761.4    45000  1684405449676  1684405454952
read      344.3   178.0   160.7   208.2   221.2   319.1   375.0   408.9   434.2   463.8   497.3   543.1   640.7  1352.7  7658.0  49960.8    50000  1684405456456  1684405461739
read      342.5   207.9   160.7   207.9   220.8   316.5   373.3   406.2   431.6   460.7   494.0   539.6   638.4  1368.2  8307.9  54890.7    55000  1684405463250  1684405468532
read      335.4   178.7   160.7   207.4   219.9   306.0   360.5   394.4   420.9   452.4   489.2   537.6   640.5  1229.1  7982.6  60154.0    60000  1684405470036  1684405475335
read      331.2   170.5   160.7   206.4   218.9   300.4   354.0   388.8   416.0   448.3   485.9   535.2   638.3  1311.9  6879.4  65053.0    65000  1684405476840  1684405482138
read      322.8   186.8   148.8   205.5   216.7   290.6   340.8   374.1   401.3   433.5   472.9   526.6   634.3  1250.4  6463.1  69985.0    70000  1684405483642  1684405488919
read      321.1   168.5   160.7   204.4   215.5   292.1   341.0   371.8   396.6   427.2   465.6   515.0   616.1  1474.7  7562.8  74944.0    75000  1684405490423  1684405495697
read      322.2   189.0   148.8   205.2   216.7   292.0   340.8   371.5   395.8   425.8   464.1   515.6   628.9  1344.4  8079.9  79768.2    80000  1684405497200  1684405502482
read      309.8   167.3   148.8   203.7   213.7   281.3   325.2   353.5   375.1   403.9   442.6   497.1   598.2  1219.3  7838.9  84911.2    85000  1684405503986  1684405509270
read      312.8   169.6   148.8   203.9   214.4   286.0   331.7   360.4   382.4   409.2   444.9   495.6   592.7  1213.1  6275.1  89886.4    90000  1684405510774  1684405516062
read      312.6   158.1   148.8   204.2   215.0   289.1   334.6   361.6   381.5   404.9   436.9   487.6   581.6  1096.4  6449.8  94853.2    95000  1684405517566  1684405522845
read      305.9   162.0   148.8   203.8   214.0   280.8   321.9   347.8   368.1   393.2   426.8   476.7   581.2  1089.5  6634.3  99979.0   100000  1684405524348  1684405529626
read      308.3   161.3   148.8   205.1   216.1   285.4   326.3   350.6   369.5   393.1   424.9   472.3   580.7  1372.1  7592.6 104877.6   105000  1684405531129  1684405536413
read      302.4   126.6   160.7   203.9   214.1   279.9   319.4   344.1   363.7   387.1   418.3   466.1   562.2  1112.6  4371.5 109746.8   110000  1684405537916  1684405543198
read      308.5   159.2   160.7   206.1   217.9   288.3   327.8   351.3   369.0   390.7   419.2   464.3   558.8  1146.6  6671.3 115054.7   115000  1684405544701  1684405549980
read      306.9   140.2   160.7   207.5   219.7   288.0   325.9   348.7   366.6   387.8   415.6   459.7   549.0   873.8  5744.3 120149.9   120000  1684405551483  1684405556763
read      315.1   132.7   148.8   209.5   222.2   295.1   334.2   357.2   373.7   395.6   424.6   470.9   616.9  1267.3  4645.4 124719.3   125000  1684405558266  1684405563548
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 72.00%,4.57%,100.00%
