x,cpu
4962.933333333333,1.0666666666666667
9980.733333333332,1.1
14995.0,0.7999999999999999
19962.0,1.3
25027.36666666667,4.1000000000000005
30010.333333333332,11.833333333333334
34972.6,27.066666666666666
39957.066666666666,41.06666666666666
44983.666666666664,52.166666666666664
49987.53333333333,60.46666666666667
55006.86666666666,62.36666666666667
60114.80000000001,68.83333333333333
64871.0,71.89999999999999
69805.53333333333,77.86666666666666
75096.99999999999,84.46666666666665
79920.63333333333,85.56666666666666
85041.86666666665,90.83333333333333
89838.26666666666,92.56666666666666
95019.06666666667,99.33333333333333
98499.46666666667,99.33333333333333
99851.06666666665,100.0
103456.06666666665,100.0

