#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      369.3   453.7   173.5   242.7   269.1   340.4   365.0   378.7   391.4   404.1   427.5   467.2   593.9  8364.6 14927.7   4984.5     5000  1684405187505  1684405192888
read      370.1   366.8   160.7   224.0   242.8   356.6   391.6   409.7   424.2   439.6   463.3   499.6   585.0  5151.2 13608.4   9978.4    10000  1684405194392  1684405199719
read      375.8   261.2   160.7   220.3   236.5   366.4   412.9   434.0   450.5   468.0   494.5   536.4   672.8  4052.5  9878.9  14955.4    15000  1684405201223  1684405206502
read      366.2   224.2   160.7   213.9   229.0   353.9   411.2   436.5   454.9   474.0   500.0   539.5   633.6  1955.3 10277.5  19940.2    20000  1684405208005  1684405213322
read      356.7   213.1   160.7   209.5   223.7   338.2   401.0   429.8   449.2   469.6   496.1   535.0   625.4  1586.3 11170.1  24906.1    25000  1684405214825  1684405220132
read      358.9   197.6   160.7   209.9   224.0   338.0   401.3   435.1   457.2   480.6   506.3   546.6   640.4  1456.9  8585.3  29888.8    30000  1684405221635  1684405226934
read      347.8   165.3   160.7   208.5   221.4   320.8   385.0   422.2   447.1   473.1   503.7   546.6   641.5  1232.4  6917.5  34936.0    35000  1684405228438  1684405233731
read      344.1   211.1   160.7   207.6   220.1   314.5   375.0   413.3   439.6   467.6   498.6   543.2   638.5  1488.6  9500.2  39893.6    40000  1684405235234  1684405240525
read      341.1   192.3   160.7   207.1   219.7   313.5   372.0   408.9   435.5   463.8   495.6   539.0   632.4  1221.2  7877.8  44937.0    45000  1684405242029  1684405247315
read      345.6   200.3   160.7   208.8   222.0   321.8   378.8   410.5   434.1   462.0   494.4   539.1   633.5  1193.2  9375.8  50009.4    50000  1684405248819  1684405254097
read      340.3   182.6   160.7   208.7   221.6   315.1   370.5   402.7   427.7   456.5   490.2   535.9   632.3  1274.2  7875.0  55009.6    55000  1684405255601  1684405260884
read      341.9   198.6   160.7   207.8   220.8   314.3   372.2   405.5   430.8   460.5   495.7   542.8   644.1  1256.9  7685.7  60033.0    60000  1684405262387  1684405267666
read      326.0   207.0   160.7   205.8   217.4   295.4   346.5   379.3   404.5   436.0   474.7   525.1   628.5  1223.5  7579.2  65002.8    65000  1684405269170  1684405274444
read      324.3   186.1   160.7   203.7   214.7   294.2   346.7   379.5   404.0   435.3   473.4   522.0   615.1  1382.1  7770.6  70225.6    70000  1684405275947  1684405281238
read      320.4   162.9   148.8   204.7   216.1   293.5   343.1   373.4   397.3   427.1   464.7   513.3   606.1   823.6  7038.4  75134.6    75000  1684405282741  1684405288018
read      315.1   177.2   160.7   203.3   213.4   285.4   333.4   364.2   387.9   417.4   455.5   504.8   599.9  1088.2  7882.8  79907.8    80000  1684405289521  1684405294803
read      312.4   146.2   148.8   203.1   213.4   285.7   332.0   360.8   382.9   410.5   448.3   499.1   592.1  1222.7  5767.8  84783.8    85000  1684405296307  1684405301594
read      305.0   168.1   160.7   204.3   214.2   277.5   318.1   344.3   366.0   393.6   430.5   484.2   579.5  1187.9  7580.2  90250.8    90000  1684405303098  1684405308372
read      306.4   176.1   148.8   202.9   212.6   280.7   323.6   349.7   369.7   394.9   429.0   481.3   581.9  1242.0  8626.1  95043.0    95000  1684405309876  1684405315172
read      309.9   157.1   148.8   204.7   215.9   287.5   330.5   356.2   374.6   398.7   430.7   478.1   574.0  1098.0  4384.4  99822.0   100000  1684405316676  1684405321951
read      308.1   143.1   160.7   204.6   215.4   285.3   326.9   352.2   371.4   395.5   427.6   477.1   583.8  1110.8  4923.0 104677.8   105000  1684405323454  1684405328734
read      304.0   135.9   160.7   204.4   214.7   281.8   321.6   345.9   365.2   388.2   418.9   465.9   566.7  1096.8  4600.3 109923.2   110000  1684405330238  1684405335505
read      306.9   151.6   148.8   205.9   217.7   287.7   326.7   349.8   367.5   389.1   417.9   462.6   551.3   955.4  7390.2 115046.6   115000  1684405337010  1684405342294
read      298.0   171.1   148.8   204.6   215.0   277.7   314.5   336.9   353.8   374.1   402.1   447.0   536.1   939.1  6639.6 119784.0   120000  1684405343798  1684405349081
read      303.2   126.2   160.7   205.2   216.8   285.0   321.8   344.1   361.4   381.4   408.0   453.4   551.3  1036.3  4701.9 124417.4   125000  1684405350584  1684405355876
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 72.47%,6.03%,100.00%
