#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      358.6   376.9   173.5   241.3   266.3   337.1   361.4   374.1   387.2   400.6   422.9   461.5   575.6  4242.1 19772.1   4953.4     5000  1684404980064  1684404985446
read      365.3   210.9   160.7   225.6   245.0   357.2   392.5   411.3   425.9   442.7   466.3   503.5   606.5  3013.8  8062.9  10024.4    10000  1684404986949  1684404992271
read      364.4   322.7   160.7   217.5   233.1   352.9   397.1   419.3   433.8   453.5   476.6   514.3   596.5  3980.7 19340.6  15043.6    15000  1684404993775  1684404999082
read      370.3   310.1   160.7   214.5   229.2   350.4   409.7   435.4   453.8   472.5   499.1   539.0   636.0  3942.2 13279.6  19887.8    20000  1684405000586  1684405005890
read      363.8   219.1   160.7   212.4   227.3   345.2   407.9   437.5   457.3   478.5   503.3   542.4   639.8  1841.7  9371.9  25037.4    25000  1684405007394  1684405012677
read      352.8   214.4   160.7   208.5   221.8   326.4   393.8   429.5   452.2   475.7   504.5   547.5   636.3  1313.0  8795.5  29970.2    30000  1684405014181  1684405019471
read      361.7   240.6   160.7   210.1   223.7   329.3   398.4   438.3   463.4   489.6   519.7   567.5   703.3  2273.5  9578.7  34877.8    35000  1684405020975  1684405026253
read      353.6   233.0   148.8   208.8   222.3   325.2   387.7   424.6   450.4   478.2   508.2   550.4   659.0  2080.7 10837.5  40023.2    40000  1684405027758  1684405033041
read      352.2   188.2   160.7   210.0   223.7   329.2   387.9   421.7   446.2   473.2   504.0   547.2   641.0  1382.1  8383.9  44992.6    45000  1684405034545  1684405039836
read      348.5   169.0   160.7   209.8   223.5   324.7   382.6   415.7   439.5   467.8   499.8   544.0   650.6  1284.1  6955.9  50171.0    50000  1684405041340  1684405046618
read      342.6   168.2   160.7   210.4   223.4   312.7   369.3   404.7   432.9   464.5   500.4   548.3   661.6  1219.0  5968.3  54832.2    55000  1684405048122  1684405053401
read      340.3   177.4   148.8   209.6   222.8   312.0   367.8   401.3   427.8   458.8   494.8   542.3   642.0  1297.4  7547.8  59656.2    60000  1684405054904  1684405060186
read      333.8   190.0   160.7   206.4   219.0   300.9   356.1   391.4   419.1   453.0   492.4   543.6   662.0  1221.4  8935.0  65118.8    65000  1684405061690  1684405066977
read      321.8   152.3   160.7   205.6   216.8   288.0   337.1   371.1   399.5   435.7   480.1   535.5   636.9  1171.6  6181.5  70023.8    70000  1684405068481  1684405073757
read      323.8   178.6   160.7   206.0   217.8   292.1   340.9   372.7   398.7   431.8   472.9   527.3   634.4  1416.2  7844.5  74887.8    75000  1684405075261  1684405080543
read      328.8   188.2   160.7   207.3   219.5   293.6   344.7   378.6   404.6   438.0   479.7   537.7   701.8  1489.8  8141.3  79954.4    80000  1684405082046  1684405087331
read      317.9   170.8   160.7   204.6   215.5   288.5   335.5   365.5   389.1   418.8   457.9   509.7   625.4  1365.2  7752.4  84793.8    85000  1684405088836  1684405094114
read      313.6   156.3   160.7   204.4   215.0   285.2   331.3   361.0   383.9   411.9   449.1   501.5   608.5  1109.7  6316.8  90029.4    90000  1684405095618  1684405100902
read      310.3   146.2   160.7   205.4   216.5   284.2   326.9   354.0   374.1   400.5   436.5   492.1   597.9  1127.3  5567.8  94846.2    95000  1684405102406  1684405107672
read      316.9   170.6   148.8   205.4   217.2   291.2   335.8   363.0   383.4   408.1   442.9   495.6   623.7  1322.2  7586.8 100154.2   100000  1684405109176  1684405114466
read      311.0   159.1   148.8   205.4   217.1   288.2   330.4   355.9   374.2   398.3   429.7   478.1   578.5  1180.8  7945.4 104929.2   105000  1684405115971  1684405121248
read      302.2   147.3   148.8   204.3   214.7   280.0   319.3   343.5   362.4   385.0   415.9   464.0   559.3   886.6  5760.6 110009.2   110000  1684405122752  1684405128031
read      302.8   151.2   160.7   204.9   215.8   282.8   320.5   343.6   361.5   382.7   411.3   457.8   548.1   877.8  6276.0 114829.2   115000  1684405129535  1684405134827
read      300.7   141.7   148.8   204.3   215.2   280.4   317.5   340.5   358.3   379.5   408.3   455.5   550.1   910.5  5989.3 119576.2   120000  1684405136331  1684405141621
read      304.0   157.3   148.8   206.8   218.9   285.3   321.2   343.3   360.2   379.9   406.9   453.5   548.1   936.2  6273.7 125048.4   125000  1684405143125  1684405148400
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 71.06%,3.52%,100.00%
