x,Core_1_Thread_2,y_err_hi,y_err_lo,x_err
4962.933333333333,0.4903666666666667,0.008633333333333326,0.012266666666666648,38.53119947955586
9980.733333333332,0.5433333333333333,0.00216666666666665,0.0033333333333332993,48.851748518689966
14995.0,0.5884666666666667,0.0023333333333332984,0.00436666666666663,63.0495043596703
19961.999999999996,0.6377,0.006799999999999917,0.00649999999999995,59.68148791710863
25027.36666666667,0.7006333333333333,0.02096666666666669,0.03603333333333336,92.92267394631602
30010.333333333332,0.7904,0.06510000000000005,0.06110000000000004,25.543949055173623
34972.6,0.8100333333333333,0.054366666666666674,0.03273333333333328,50.63556062689559
39957.066666666666,0.8538666666666667,0.05893333333333328,0.08176666666666665,93.651552754522
44983.666666666664,0.8343000000000002,0.06669999999999987,0.034600000000000075,60.05641791959559
49987.53333333333,0.818,0.06940000000000002,0.04959999999999998,240.12266309811994
55006.86666666667,0.8009666666666667,0.02063333333333328,0.01626666666666665,46.900888406650274
60114.799999999996,0.8661333333333333,0.04616666666666669,0.06323333333333336,214.53540500346202
64871.0,0.8179,0.018300000000000094,0.015899999999999914,63.07551030312727
69805.53333333333,0.8454999999999999,0.023299999999999987,0.01319999999999999,162.29569721139558
75097.0,0.8393,0.011499999999999955,0.01640000000000008,204.87820772351725
79920.63333333333,0.8144666666666667,0.009533333333333283,0.018366666666666642,78.60002120441372
85041.86666666667,0.8562333333333334,0.04476666666666662,0.031133333333333346,64.37587539857398
89838.26666666668,0.8534999999999999,0.09550000000000003,0.09039999999999992,252.7318209749865
95483.35,1.416375,0.30642499999999995,0.3442750000000001,930.5323691307001
99946.63333333333,1.6670133333333335,0.05388666666666664,0.3976133333333334,1356.3165252501592
103484.9,1.6838,0.006799999999999917,0.006799999999999917,457.92235149640203
