x,cpu
4959.366666666666,1.0666666666666667
9976.733333333332,2.5333333333333337
14976.199999999999,2.566666666666667
19971.533333333333,2.0
24920.63333333333,2.7999999999999994
29950.8,5.0
34920.4,11.433333333333332
39965.99999999999,21.600000000000005
44897.0,33.86666666666667
50047.06666666667,52.23333333333333
54910.833333333336,68.33333333333333
59947.73333333334,86.93333333333332
65058.200000000004,86.16666666666667
70078.13333333335,92.86666666666667
74988.8,101.56666666666666
79876.8,111.86666666666667
84829.59999999999,119.76666666666667
90055.53333333333,127.53333333333335
94914.13333333335,133.93333333333337
99985.06666666667,142.86666666666667
104828.2,148.96666666666667
109893.06666666667,153.13333333333335
114976.83333333333,163.13333333333333
119836.7,164.5666666666667
124728.36666666665,168.66666666666666
