#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      388.5   569.2   173.5   240.6   266.0   345.6   374.1   392.0   403.3   423.0   448.7   494.0   690.5  9676.4 19734.8   5007.4     5000  1684404771331  1684404776676
read      385.5   284.9   160.7   221.6   239.2   371.8   419.4   443.7   461.4   481.7   505.8   545.5   675.5  4057.0 12282.4   9945.0    10000  1684404778182  1684404783507
read      393.1   252.6   160.7   216.8   234.5   378.5   440.8   472.6   493.3   515.8   545.1   590.5   692.0  3069.5 11402.9  15023.0    15000  1684404785011  1684404790315
read      400.3   245.9   160.7   215.8   232.2   372.7   448.9   490.3   517.5   547.0   584.6   637.4   757.0  2458.2  8576.5  19939.8    20000  1684404791819  1684404797116
read      406.4   237.2   160.7   210.6   225.0   368.9   447.5   495.5   528.8   568.4   621.8   715.7   937.2  2822.9  8101.2  25132.7    25000  1684404798621  1684404803926
read      420.7   305.7   160.7   209.9   223.7   363.4   449.3   499.9   537.9   586.8   673.7   855.5  1153.0  1835.0 12534.8  29983.0    30000  1684404805429  1684404810726
read      421.9   294.4   160.7   210.0   223.8   369.5   457.4   512.7   554.2   607.2   673.1   788.4  1109.5  3244.5  9936.0  35008.0    35000  1684404812230  1684404817510
read      418.1   248.3   160.7   211.1   225.0   369.2   457.7   514.4   558.8   610.9   674.1   772.1  1062.7  1556.3  9882.4  39904.0    40000  1684404819013  1684404824303
read      422.1   262.6   160.7   210.5   224.1   362.3   455.2   515.8   564.4   621.7   689.8   802.2  1171.8  1881.3  9288.2  44919.8    45000  1684404825806  1684404831109
read      415.5   291.2   160.7   206.9   219.5   337.0   429.1   491.3   543.7   612.6   699.5   887.4  1302.5  2039.8  9675.2  50259.6    50000  1684404832614  1684404837900
read      408.7   248.3   160.7   207.9   221.7   351.0   438.7   497.2   544.2   604.4   676.9   784.7  1097.9  1517.1  7685.4  55031.2    55000  1684404839403  1684404844683
read      409.0   283.7   160.7   204.9   217.1   325.6   414.8   473.5   525.5   596.8   701.5   912.3  1364.1  1866.4  6878.8  59918.8    60000  1684404846186  1684404851468
read      404.2   269.3   148.8   205.2   218.2   338.7   423.4   479.5   527.1   588.9   673.0   815.5  1174.3  1774.1 10371.9  64811.6    65000  1684404852971  1684404858242
read      401.0   278.7   160.7   204.8   217.4   330.2   410.8   465.7   512.3   576.8   666.6   832.3  1246.3  1986.8  9318.8  69975.8    70000  1684404859745  1684404865039
read      405.4   260.0   160.7   205.4   218.8   334.4   418.5   475.3   526.5   591.7   678.6   844.2  1246.5  1891.7  8023.4  74990.4    75000  1684404866544  1684404871827
read      399.5   275.3   160.7   207.3   220.4   331.1   405.7   460.1   507.6   575.5   662.7   823.3  1208.8  1919.9  9975.5  79845.9    80000  1684404873330  1684404878611
read      397.9   253.5   148.8   208.2   221.3   332.2   402.9   452.2   497.1   563.1   656.8   842.6  1223.0  1900.0  8161.5  84971.8    85000  1684404880115  1684404885403
read      405.8   288.0   148.8   208.4   222.5   337.1   409.3   460.9   506.8   572.1   661.5   848.4  1272.7  2177.6 10138.4  89546.8    90000  1684404886906  1684404892192
read      571.3   757.3   148.8   226.7   245.5   340.0   461.8   628.2   772.4   964.4  1134.5  1518.4  2820.1  7627.9 31215.6  95060.0    95000  1684404893696  1684404898975
read      676.8   828.6   160.7   262.4   279.7   346.8   448.0   890.6  1254.9  1444.1  1564.1  1722.8  2675.6  8780.1 30934.3  96876.2   100000  1684404900478  1684404905759
read      593.5   749.8   160.7   225.7   242.7   333.9   491.9   698.0   894.5  1072.0  1284.8  1623.6  2598.7  8425.2 30686.4 101871.4   105000  1684404907263  1684404912549
read      633.1   724.1   160.7   246.9   261.9   324.3   380.7   743.5  1216.7  1420.9  1530.8  1690.6  2658.3  6863.8 19056.9 103161.1   110000  1684404914053  1684404919335
read      636.0   870.6   160.7   249.3   263.1   321.5   373.8   721.4  1163.1  1410.3  1522.1  1677.0  2621.9 11457.8 31472.1 103808.7   115000  1684404920838  1684404926114
read      644.7   844.8   160.7   251.2   265.5   330.1   396.5   781.3  1196.4  1417.3  1525.6  1685.4  2587.6 10789.5 30696.5 102071.4   120000  1684404927617  1684404932893
read      660.3   734.6   160.7   249.7   266.8   352.6   534.6   882.2  1124.5  1396.6  1528.0  1702.4  2618.3  8121.8 26974.0  99288.4   125000  1684404934398  1684404939685
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 72.01%,5.03%,100.00%
