canneal,radix,ferret,freqmine,vips,blackscholes,dedup
0.0,0.23992514610290527,26.876240015029907,230.8907401561737,262.56615114212036,442.1324441432953,630.8083851337433
17.418346166610718,25.55606698989868,229.54764795303345,644.0738160610199,267.6210961341858,448.20299911499023,667.8131380081177
25.552288055419922,,,,275.74247312545776,468.36387300491333,
26.591838121414185,,,,276.7765769958496,478.6199870109558,
28.959777116775513,,,,288.91207909584045,481.39563608169556,
48.144477128982544,,,,289.94353199005127,482.4320321083069,
50.26188397407532,,,,292.04435110092163,484.5339801311493,
51.31550407409668,,,,294.0509970188141,485.5838050842285,
57.42847013473511,,,,297.09207010269165,487.67647099494934,
187.47477102279663,,,,337.39280796051025,488.7039511203766,
189.5980031490326,,,,339.5016939640045,490.79633498191833,
190.6363229751587,,,,340.53379797935486,491.82737612724304,
192.75752806663513,,,,348.6544871330261,493.9245970249176,
193.79318809509277,,,,398.0201849937439,494.9547381401062,
195.91102409362793,,,,400.1240670681,497.03643798828125,
196.95301413536072,,,,401.1602261066437,557.4473950862885,
199.05712413787842,,,,403.2612600326538,563.5692591667175,
200.09602093696594,,,,404.30951595306396,564.611927986145,
202.208829164505,,,,406.41622710227966,576.7440459728241,
203.24955701828003,,,,407.47349309921265,577.808140039444,
207.3666651248932,,,,409.57692408561707,579.9047801494598,
261.24539709091187,,,,410.61747312545776,580.9404101371765,
,,,,412.72840213775635,583.0316400527954,
,,,,413.7648949623108,584.0630080699921,
,,,,415.87668895721436,586.1513669490814,
,,,,416.9459159374237,598.2533659934998,
,,,,427.06836199760437,600.3516581058502,
,,,,440.58904504776,601.3835389614105,
,,,,,605.4840371608734,
,,,,,606.5358369350433,
,,,,,608.6267549991608,
,,,,,609.6567189693451,
,,,,,611.7524869441986,
,,,,,612.7892241477966,
,,,,,614.8847291469574,
,,,,,615.915864944458,
,,,,,617.9997279644012,
,,,,,629.3347010612488,
