[PARSEC] [---------- Beginning of output ----------]
PARSEC Benchmark Suite Version 3.0-beta-20150206
(10,1)
(26,2)
(31,3)
(33,4)
(38,5)
(45,6)
(50,7)
(62,8)
(70,9)
(71,10)
(73,11)
(73,12)
(78,13)
(79,14)
(79,15)
(88,16)
(88,17)
(89,18)
(89,19)
(89,20)
(90,21)
(90,22)
(90,23)
(91,24)
(91,25)
(94,26)
(94,27)
(94,28)
(94,29)
(95,30)
(96,31)
(97,32)
(98,33)
(98,34)
(99,35)
(101,36)
(103,37)
(105,38)
(106,39)
(106,40)
(107,41)
(111,42)
(112,43)
(113,44)
(113,45)
(113,46)
(114,47)
(114,48)
(114,49)
(115,50)
(116,51)
(118,52)
(118,53)
(118,54)
(119,55)
(119,56)
(120,57)
(128,58)
(129,59)
(129,60)
(130,61)
(130,62)
(133,63)
(133,64)
(133,65)
(134,66)
(134,67)
(134,68)
(135,69)
(136,70)
(136,71)
(136,72)
(137,73)
(137,74)
(138,75)
(139,76)
(140,77)
(140,78)
(140,79)
(142,80)
(143,81)
(143,82)
(145,83)
(147,84)
(148,85)
(148,86)
(153,87)
(163,88)
(163,89)
(170,90)
(170,91)
(171,92)
(172,93)
(172,94)
(173,95)
(173,96)
(173,97)
(174,98)
(174,99)
(175,100)
(178,101)
(178,102)
(178,103)
(178,104)
(178,105)
(179,106)
(179,107)
(179,108)
(180,109)
(181,110)
(181,111)
(182,112)
(182,113)
(182,114)
(183,115)
(185,116)
(185,117)
(186,118)
(189,119)
(189,120)
(190,121)
(191,122)
(191,123)
(191,124)
(191,125)
(191,126)
(192,127)
(192,128)
(192,129)
(192,130)
(194,131)
(196,132)
(196,133)
(196,134)
(196,135)
(199,136)
(202,137)
(202,138)
(203,139)
(203,140)
(203,141)
(207,142)
(208,143)
(209,144)
(213,145)
(215,146)
(219,147)
(221,148)
(223,149)
(225,150)
(227,151)
(227,152)
(227,153)
(228,154)
(230,155)
(231,156)
(231,157)
(231,158)
(232,159)
(232,160)
(232,161)
(232,162)
(234,163)
(234,164)
(235,165)
(235,166)
(236,167)
(237,168)
(237,169)
(237,170)
(237,171)
(241,172)
(242,173)
(247,174)
(251,175)
(251,176)
(256,177)
(256,178)
(256,179)
(256,180)
(256,181)
(256,182)
(256,183)
(256,184)
(256,185)
(256,186)
(256,187)
(256,188)
(256,189)
(256,190)
(256,191)
(256,192)
(256,193)
(256,194)
(256,195)
(256,196)
(256,197)
(256,198)
(256,199)
(256,200)
(256,201)
(256,202)
(256,203)
(256,204)
(256,205)
(256,206)
(256,207)
(256,208)
(256,209)
(256,210)
(256,211)
(256,212)
(256,213)
(256,214)
(256,215)
(256,216)
(256,217)
(256,218)
(256,219)
(256,220)
(256,221)
(256,222)
(256,223)
(256,224)
(256,225)
(256,226)
(256,227)
(256,228)
(256,229)
(256,230)
(256,231)
(256,232)
(256,233)
(256,234)
(256,235)
(256,236)
(256,237)
(256,238)
(256,239)
(256,240)
(256,241)
(256,242)
(256,243)
(256,244)
(256,245)
(256,246)
(256,247)
(256,248)
(256,249)
(256,250)
(256,251)
(256,252)
(256,253)
(256,254)
(256,255)
(256,256)
QUERY TIME: 6.169 seconds

real	0m6.293s
user	0m11.038s
sys	0m0.151s
[PARSEC] [----------    End of output    ----------]
