Random waveform, supplied seed
Total number of intervals = 120 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791)
Average QPS expected = 51270
Timestamp start: 1684507117941
Timestamp end: 1684508318443

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      402.6   418.2   160.7   212.2   225.4   319.5   392.5   449.0   496.6   553.3   629.4   789.9  1392.1  4560.6 14136.3  65812.5    65694
read      465.9   497.9   160.7   215.3   230.6   389.2   497.8   564.8   618.3   676.1   745.4   849.7  1242.7  7076.6 18219.9  29617.0    29574
read      468.0   470.9   160.7   212.1   226.6   362.2   472.9   546.7   608.6   689.4   806.4  1011.2  1587.1  5128.1 15990.2  51323.0    51355
read      415.2   369.0   160.7   211.3   224.8   325.0   406.0   469.4   521.8   584.6   679.0   883.1  1460.2  3611.6 11461.0  67309.2    67361
read      463.5   720.4   160.7   219.0   235.3   400.5   498.7   546.3   579.8   614.2   652.1   714.4  1011.5  8949.3 31743.7  16366.8    16287
read      385.7   323.8   160.7   211.1   224.2   311.3   368.5   410.8   450.2   504.0   581.2   771.4  1551.6  3099.2  9941.9  81506.1    81508
read      364.9   304.2   160.7   210.6   223.4   305.0   355.0   389.0   418.2   460.3   523.0   633.4  1534.6  3013.9  8325.0  87572.8    87619
read      331.4   262.9   160.7   210.5   223.0   298.5   342.3   370.0   392.6   421.8   463.4   532.6   686.9  2422.7 10342.5  99236.5    99068
read      433.3   404.1   160.7   211.2   225.4   347.8   451.0   516.2   565.4   627.5   717.0   871.8  1336.1  4147.6 12765.2  51249.9    51267
read      495.6   959.8   160.7   228.3   248.7   422.8   502.4   541.0   568.9   600.1   637.7   702.0  1884.6 10948.9 32231.9  11824.5    11822
read      410.0   385.6   160.7   215.8   229.2   327.1   379.8   415.8   448.3   494.3   565.8   943.3  1720.9  2924.9 10597.4  97365.8    97494
read      331.7   232.7   160.7   210.1   222.5   298.0   342.8   371.4   394.9   425.3   467.8   537.7   699.7  2487.7  9891.2  97242.0    97350
read      452.5   564.6   160.7   211.5   225.5   343.9   445.8   515.2   572.1   643.9   754.5   973.2  1566.5  6774.7 24825.4  55519.4    55460
read      355.3   314.0   160.7   209.9   222.6   301.6   350.4   384.5   414.0   456.0   514.8   611.8  1289.2  3009.9 12056.8  85914.1    85984
read      369.2   330.3   160.7   209.4   222.3   305.2   360.6   401.1   437.4   488.4   556.4   689.2  1267.2  2995.5 12340.7  82032.6    82043
read      459.1   634.8   160.7   211.4   225.6   348.0   451.2   519.2   573.2   642.0   746.6   947.3  1565.5  9079.3 30755.1  52857.0    52873
read      469.8   730.1   160.7   222.9   240.8   409.3   496.2   537.3   565.2   595.3   632.8   690.2  1194.5  9973.3 31502.2  13878.5    13911
read      462.0   453.3   160.7   212.2   226.6   365.4   471.8   542.9   601.7   680.6   789.8   984.2  1490.0  5307.8 14426.1  49870.3    49984
read      488.4  1027.2   173.5   233.6   255.5   406.2   470.9   504.4   527.5   551.5   587.7   650.1  2224.0 14538.5 35729.0   9283.9     9274
read      479.1   721.8   160.7   214.0   229.8   389.9   497.8   566.9   619.5   673.6   735.8   837.3  1362.5  9721.9 31692.6  27045.7    27187
read      463.5   612.0   160.7   218.2   234.1   397.7   501.6   556.1   593.3   629.7   675.1   743.8  1226.5  7259.5 30313.6  18681.5    18735
read      365.3   419.0   160.7   210.5   223.2   304.5   354.0   388.1   417.5   460.1   521.9   629.6  1495.7  3248.9 12331.0  86616.3    86505
read      333.9   232.2   160.7   210.0   222.4   298.0   344.2   374.0   398.9   431.4   477.2   548.0   717.3  2464.1  8855.8  92881.4    93039
read      403.2   327.3   160.7   212.5   225.8   319.5   388.8   441.0   487.5   547.8   640.1   870.6  1499.7  3351.9 10551.0  76003.2    75999
read      472.2   673.8   160.7   213.9   229.2   379.2   484.5   547.0   597.8   656.5   732.6   849.1  1576.0  9957.2 30921.4  32273.1    32324
read      403.3   455.3   160.7   211.2   224.5   313.2   369.2   411.5   452.7   512.4   604.0   937.0  1700.0  3048.7 13426.3  84215.0    84255
read      380.3   315.0   160.7   211.2   224.2   309.8   366.0   406.6   445.4   498.3   571.9   729.8  1507.8  2826.5 10517.3  81821.1    81759
read      465.5   543.3   160.7   212.5   228.3   385.2   486.6   553.1   609.4   673.9   748.4   861.0  1241.8  8232.5 20272.8  37322.1    37291
read      451.9   408.7   160.7   210.3   224.6   356.9   463.8   533.7   591.9   671.2   782.9   975.8  1456.3  3679.0 13799.3  53869.8    53818
read      460.3   479.6   160.7   212.4   228.5   386.9   489.9   558.0   612.3   668.9   734.5   831.6  1204.7  5955.3 20381.7  30225.5    30297
read      472.7   689.6   160.7   213.0   229.0   388.2   492.1   559.1   614.0   672.9   739.6   846.4  1293.3  7412.2 30884.7  31610.7    31569
read      460.3   493.7   160.7   212.4   228.2   383.4   484.2   549.6   606.0   669.3   744.3   855.1  1264.7  6098.2 18421.0  38791.8    38927
read      465.3   581.1   173.5   233.3   254.9   423.6   497.6   533.2   557.5   587.3   625.6   685.8  1140.2  7692.2 26413.4  10712.1    10652
read      393.8   368.1   160.7   215.1   228.5   318.9   366.8   398.2   425.7   464.1   529.2   760.9  1691.8  2758.9 11827.0  98051.4    98119
read      449.9   320.4   160.7   215.2   229.6   359.8   470.1   540.5   594.6   667.1   779.9   975.3  1396.4  2602.8 10051.9  48235.9    48176
read      472.5   285.6   160.7   220.3   236.6   404.2   517.5   589.9   647.4   718.4   803.8   927.5  1234.3  2305.8  9528.0  34863.6    34929
read      387.1   275.2   160.7   212.6   225.9   319.0   390.1   442.9   487.8   542.3   614.1   739.8  1174.3  3026.7  7977.6  69751.4    69735
read      429.5   412.7   160.7   222.0   237.7   391.1   479.4   518.1   542.7   572.9   611.3   678.9   919.8  5704.8 14522.6  20860.3    20753
read      334.0   196.8   160.7   209.9   223.1   301.2   347.9   379.5   404.4   439.0   487.3   555.8   689.2  1295.0  9223.0  84616.3    84642
read      380.6   224.9   160.7   215.4   229.5   330.0   412.0   471.7   513.0   551.4   593.5   649.6   789.9  1613.5  9851.2  42349.1    42333
read      350.1   195.8   160.7   210.2   223.4   308.4   365.6   407.5   445.5   492.5   543.6   606.2   730.5  1251.9  7948.7  61527.7    61587
read      332.4   167.4   160.7   207.7   220.4   297.2   346.1   380.1   408.3   446.9   498.4   568.6   690.8  1158.8  6302.4  77990.4    77998
read      314.7   154.9   160.7   206.3   218.5   287.0   327.9   354.7   375.7   404.3   447.1   512.9   638.0  1073.4  5996.0  97747.1    97625
read      401.7   231.4   160.7   220.0   235.4   372.7   464.7   505.8   531.0   557.7   589.6   638.3   749.4  1241.3  9598.9  23722.4    23781
read      345.3   179.9   160.7   208.5   221.7   305.6   360.8   400.1   434.9   480.8   535.4   601.0   725.7  1056.8  7444.7  66656.0    66723
read      392.6   249.7   160.7   216.5   230.7   347.3   445.3   495.7   526.3   557.1   592.0   641.1   780.5  2088.1 10227.2  31086.9    31016
read      374.9   210.8   160.7   214.7   228.6   327.1   400.5   456.6   498.7   541.6   587.7   646.7   779.8  1412.8  7824.4  47308.0    47394
read      335.4   167.9   160.7   210.7   223.6   304.2   353.4   384.7   408.4   439.8   483.7   549.9   694.8  1455.4  7159.7  95396.1    95335
read      418.7   419.0   173.5   272.6   297.7   384.6   420.5   441.2   458.3   478.0   507.6   564.2   743.9  7579.0 14379.2   5229.1     5252
read      356.5   236.3   160.7   212.3   225.7   315.0   372.5   413.7   448.8   493.3   545.8   614.3   742.6  1652.1 10213.4  65677.7    65908
read      406.3   279.2   160.7   225.3   243.2   393.2   459.6   490.2   510.1   533.6   561.8   608.3   731.0  3095.3 12180.4  16843.2    16889
read      380.1   255.8   160.7   213.3   227.3   329.6   410.9   471.6   513.6   554.0   597.1   653.6   777.7  1340.2  9929.2  42806.1    42912
read      325.6   260.1   160.7   209.0   221.6   296.8   342.0   370.1   392.9   422.1   463.0   528.7   668.0  1218.6  6226.9  99873.7    99898
