time,core
0,1
18.507097959518433,1
18.507097959518433,2
28.59022808074951,2
28.59022808074951,1
31.08481502532959,1
31.08481502532959,2
33.1295690536499,2
33.1295690536499,1
37.26164507865906,1
37.26164507865906,2
39.29374408721924,2
39.29374408721924,1
48.471745014190674,1
48.471745014190674,2
58.54567193984985,2
58.54567193984985,1
68.7098400592804,1
68.7098400592804,2
70.7525839805603,2
70.7525839805603,1
72.90223288536072,1
72.90223288536072,2
74.938551902771,2
74.938551902771,1
189.01791787147522,1
189.01791787147522,2
191.06971192359924,2
191.06971192359924,1
192.1799759864807,1
192.1799759864807,2
194.2226219177246,2
194.2226219177246,1
195.34901094436646,1
195.34901094436646,2
199.41233205795288,2
199.41233205795288,1
200.51417589187622,1
200.51417589187622,2
202.57325100898743,2
202.57325100898743,1
203.673269033432,1
203.673269033432,2
209.73660802841187,2
209.73660802841187,1
268.7011818885803,1
268.7011818885803,2
288.8143050670624,2
288.8143050670624,1
290.7734959125519,1
290.7734959125519,2
292.81148409843445,2
292.81148409843445,1
293.92154693603516,1
293.92154693603516,2
295.9569389820099,2
295.9569389820099,1
297.04900789260864,1
297.04900789260864,2
299.0771210193634,2
299.0771210193634,1
338.43980288505554,1
338.43980288505554,2
348.5548150539398,2
348.5548150539398,1
350.06907510757446,1
350.06907510757446,2
352.10142397880554,2
352.10142397880554,1
353.2044758796692,1
353.2044758796692,2
355.24176502227783,2
355.24176502227783,1
356.3450539112091,1
356.3450539112091,2
358.3718650341034,2
358.3718650341034,1
379.8092350959778,1
379.8092350959778,2
381.8449110984802,2
381.8449110984802,1
385.1062879562378,1
385.1062879562378,2
387.14350295066833,2
387.14350295066833,1
398.32483100891113,1
398.32483100891113,2
402.3687410354614,2
402.3687410354614,1
403.47721695899963,1
403.47721695899963,2
405.51794505119324,2
405.51794505119324,1
406.6253480911255,1
406.6253480911255,2
408.66277408599854,2
408.66277408599854,1
409.7931458950043,1
409.7931458950043,2
429.89878702163696,2
429.89878702163696,1
449.1424870491028,1
449.1424870491028,2
469.2523949146271,2
469.2523949146271,1
478.41086888313293,1
478.41086888313293,2
490.49857687950134,2
490.49857687950134,1
491.59911489486694,1
491.59911489486694,2
493.63781094551086,2
493.63781094551086,1
494.74090099334717,1
494.74090099334717,2
496.7796928882599,2
496.7796928882599,1
497.8721010684967,1
497.8721010684967,2
499.90179204940796,2
499.90179204940796,1
558.4639508724213,1
558.4639508724213,2
578.5826880931854,2
578.5826880931854,1
579.6852769851685,1
579.6852769851685,2
581.7186949253082,2
581.7186949253082,1
582.8133480548859,1
582.8133480548859,2
584.8544969558716,2
584.8544969558716,1
588.3034930229187,1
588.3034930229187,2
590.3314158916473,2
590.3314158916473,1
598.5050950050354,1
598.5050950050354,2
600.5502190589905,2
600.5502190589905,1
601.64222407341,1
601.64222407341,2
603.6826369762421,2
603.6826369762421,1
604.7776238918304,1
604.7776238918304,2
608.8296520709991,2
608.8296520709991,1
609.9255011081696,1
609.9255011081696,2
613.9726390838623,2
613.9726390838623,1
615.116975069046,1
615.116975069046,2
617.1537840366364,2
617.1537840366364,1
679.0784220695496,1
679.0784220695496,2
689.1468739509583,2
689.1468739509583,1
708.3521039485931,1
708.3521039485931,2
710.3837440013885,2
710.3837440013885,1
712.1089990139008,1
712.1089990139008,2
712.132917881012,2
725.2108368873596,2
805.2528560161591,2
