Start,End,p95
0,9.953999996185303,483.5
11.463000059127808,21.58299994468689,486.1
23.091000080108643,33.2039999961853,475.8
34.71300005912781,44.82299995422363,539.2
46.33400011062622,56.44199991226196,497.6
57.95300006866455,68.06100010871887,524.8
69.5699999332428,79.67899990081787,517.3
81.18499994277954,91.28800010681152,515.9
92.79699993133545,102.90700006484985,445.0
104.41700005531311,114.52900004386902,429.0
116.03800010681152,126.14299988746643,441.5
127.65100002288818,137.760999917984,475.3
139.26699995994568,149.36700010299683,463.3
150.87599992752075,160.98200011253357,473.5
