Random waveform, supplied seed
Total number of intervals = 134 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116)
Average QPS expected = 52006
Timestamp start: 1684451305572
Timestamp end: 1684452106026

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      475.1  1215.4   173.5   227.5   249.9   364.9   404.4   428.4   446.0   467.1   499.7   567.0  2670.1 25634.5 32190.8   7381.5     7434
read      398.6   412.6   160.7   204.4   215.0   321.8   400.9   455.6   504.5   573.7   659.4   787.4  1215.5  4132.2 12485.0  67086.2    67201
read      333.4   249.0   148.8   203.6   212.9   283.1   335.3   370.8   400.4   440.3   495.9   593.1   983.3  1978.4 10029.1  85810.2    85927
read      427.6   412.7   160.7   210.7   223.6   328.7   400.9   456.5   503.7   570.5   682.4  1012.3  1778.7  4005.8 12307.2  64088.8    63953
read      419.5   482.9   160.7   209.5   222.9   350.3   436.7   493.0   532.3   576.8   632.8   733.7  1338.0  6149.3 17924.4  31661.2    31595
read      358.7   426.9   160.7   205.0   215.7   292.7   344.8   380.1   409.2   450.6   510.1   650.2  1383.3  5024.7 11057.8  87794.2    87879
read      417.0   834.5   173.5   229.4   251.8   355.7   392.9   414.5   430.4   450.9   476.6   523.2  1409.3 10100.4 35723.2   7271.0     7287
read      416.1   451.1   160.7   205.2   216.8   326.4   414.2   476.7   530.6   605.5   702.1   881.3  1347.4  4803.5 16099.9  62137.8    62295
read      426.6   932.6   173.5   229.9   255.1   357.3   397.2   420.4   436.2   458.0   485.4   533.5  1955.3 12407.1 32140.2   6521.2     6561
read      431.2   726.7   160.7   206.3   219.0   356.3   441.4   499.5   537.6   575.9   618.6   680.6  1059.8 10386.3 31622.1  22489.3    22532
