canneal,radix,ferret,freqmine,vips,blackscholes,dedup
0.0,0.248032808303833,26.812041997909546,231.13857889175415,307.9759979248047,470.2348289489746,621.2171928882599
11.368060827255249,25.530853986740112,229.68535685539246,644.1408360004425,336.43042182922363,491.41626596450806,657.5516839027405
15.479158878326416,,,,346.56438302993774,497.5348708629608,
18.52844500541687,,,,347.60030484199524,507.9448199272156,
20.64850687980652,,,,349.70492792129517,510.0188558101654,
21.678473949432373,,,,350.7364180088043,521.1216118335724,
23.789532899856567,,,,352.8278558254242,527.231470823288,
28.855674028396606,,,,358.89607095718384,545.3758769035339,
30.97065281867981,,,,360.99652886390686,551.4689209461212,
32.01201796531677,,,,362.06411695480347,569.6077489852905,
36.110684871673584,,,,366.18455386161804,571.7041828632355,
113.76159501075745,,,,367.2279360294342,572.736752986908,
115.88491487503052,,,,369.33653497695923,574.8139889240265,
116.9248960018158,,,,407.6414530277252,587.9413750171661,
119.04542803764343,,,,413.7588629722595,590.0364680290222,
120.09286189079285,,,,436.9370198249817,591.071695804596,
122.20881199836731,,,,439.0387120246887,593.1489238739014,
123.24474596977234,,,,440.07198786735535,605.2424118518829,
125.3835039138794,,,,442.16023302078247,611.3515310287476,
161.71223092079163,,,,455.29684495925903,617.5959119796753,
173.8736379146576,,,,457.3958170413971,,
174.90814995765686,,,,458.42738103866577,,
177.01298093795776,,,,460.5324008464813,,
203.24824500083923,,,,461.5674169063568,,
209.3928508758545,,,,467.6822028160095,,
211.43661403656006,,,,468.68973088264465,,
213.54469203948975,,,,,,
239.2196569442749,,,,,,
241.32859802246094,,,,,,
242.36473298072815,,,,,,
244.4726059436798,,,,,,
245.52850985527039,,,,,,
249.6591339111328,,,,,,
250.72106194496155,,,,,,
256.8478000164032,,,,,,
268.9974730014801,,,,,,
281.14752197265625,,,,,,
287.2169020175934,,,,,,
291.32483196258545,,,,,,
292.3644149303436,,,,,,
294.47302293777466,,,,,,
295.5119278430939,,,,,,
297.6169629096985,,,,,,
306.6840968132019,,,,,,
