Random waveform, random seed
Total number of intervals = 120 (54002, 92848, 15127, 64542, 54231, 36978, 27459, 32418, 55802, 43025, 91796, 94309, 57566, 49677, 83727, 56663, 65427, 10878, 96312, 85809, 84485, 52917, 99988, 22555, 69010, 96694, 44873, 83834, 43956, 64676, 28899, 97073, 57546, 85868, 29342, 32201, 14566, 40030, 11950, 54991, 89852, 94274, 28331, 56075, 69071, 81077, 63800, 19629, 97757, 43107, 49081, 32299, 46085, 43418, 53009, 33131, 60790, 73534, 23502, 25272, 37349, 93647, 42250, 89506, 82817, 57242, 16966, 90978, 27205, 34184, 88935, 78207, 89524, 93349, 60534, 42644, 55863, 19588, 86841, 35275, 95712, 67984, 49300, 18377, 59537, 17735, 98082, 95494, 18359, 45419, 58308, 68597, 80424, 19406, 63150, 22357, 65970, 14002, 67394, 8970, 37330, 49297, 51807, 68343, 94884, 28280, 46048, 70789, 58838, 44539, 78671, 5551, 59874, 71833, 31644, 67336, 83838, 16813, 82808, 84623)
Average QPS expected = 56314
Timestamp start: 1684509008765
Timestamp end: 1684510209202

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      491.3   579.1   160.7   216.6   232.5   404.1   521.6   595.1   653.1   719.2   797.8   920.6  1376.5  7230.0 20448.8  32123.9    32201
read      505.4   851.6   160.7   224.6   243.6   426.8   524.8   575.4   609.7   644.8   687.9   765.0  1490.2 10952.8 32097.4  14606.0    14566
read      491.9   514.1   160.7   216.7   232.0   393.0   514.1   591.4   652.9   732.4   834.5  1012.8  1507.7  6139.4 16252.0  40090.5    40030
read      494.7   780.5   160.7   227.0   247.2   431.5   517.8   559.5   589.4   623.1   664.4   735.9  1763.5  9573.4 34249.7  12010.6    11950
read      492.1   669.8   160.7   214.9   229.7   364.2   483.3   565.2   633.8   728.0   860.8  1096.2  1729.0  6822.3 28167.5  54968.3    54991
read      375.4   288.6   160.7   213.1   226.8   317.9   370.5   402.7   430.5   466.9   521.8   627.2  1617.0  2823.8  8218.8  89776.5    89852
read      346.3   266.9   160.7   212.4   225.7   311.2   360.4   390.9   415.2   447.3   492.6   563.3   751.9  2611.7 10997.0  94229.7    94274
read      482.6   625.7   160.7   216.6   232.6   401.0   513.9   582.6   634.7   693.8   770.2   869.4  1260.6  6913.4 31329.1  28362.4    28331
read      480.1   541.2   160.7   213.1   227.5   353.9   467.9   547.6   615.8   711.0   856.3  1118.7  1730.7  6267.0 21206.7  56097.9    56075
read      406.3   350.0   160.7   213.1   227.0   327.8   399.9   454.5   500.4   558.7   636.7   818.0  1452.7  3333.9 10705.7  69065.9    69071
read      367.6   335.9   160.7   213.0   226.3   317.0   372.8   409.6   439.7   479.4   534.8   621.1  1049.6  3882.4 11357.9  81216.6    81077
read      403.0   383.7   160.7   212.6   226.6   327.1   400.0   455.2   501.1   557.5   629.6   775.4  1373.0  3639.4 14264.4  63892.0    63800
read      478.4   638.3   160.7   220.4   237.2   413.8   516.6   574.8   618.0   665.6   722.4   803.7  1135.9  6921.3 32726.4  19689.2    19629
read      404.1   392.9   160.7   218.6   232.8   335.4   389.4   424.2   453.6   493.7   551.9   694.2  1684.9  3797.2 14082.6  97572.2    97757
read      481.8   475.0   160.7   217.4   232.5   380.8   500.5   574.8   633.6   712.2   819.4   995.7  1548.8  6042.7 13760.8  43093.4    43107
read      485.0   576.0   160.7   214.7   230.0   377.7   493.1   567.5   630.4   710.0   818.0  1010.4  1587.9  7139.9 30177.9  48955.9    49081
read      499.7   603.7   160.7   217.4   234.0   410.1   527.8   601.4   657.6   722.3   799.6   917.5  1417.2  8793.2 28806.8  32450.9    32299
read      487.7   520.9   160.7   216.0   231.6   386.4   503.1   580.4   641.1   723.3   830.6  1010.0  1559.2  6068.0 18963.4  46070.4    46085
read      521.7   664.5   160.7   216.1   231.8   391.5   514.3   593.2   660.2   747.1   861.6  1097.1  2538.1  7143.0 30584.3  43351.6    43418
read      485.5   495.4   160.7   214.7   229.8   368.9   485.9   566.0   631.7   724.1   854.0  1084.8  1678.2  5983.4 13907.2  52891.9    53009
read      491.9   576.3   160.7   218.0   234.3   406.9   523.4   595.6   652.8   718.9   797.0   915.0  1367.9  7170.9 30092.5  33070.7    33131
read      438.4   417.1   160.7   213.7   228.2   340.9   431.7   499.2   551.0   618.3   720.4   947.4  1574.5  4345.9 13770.6  60700.0    60790
read      427.7   484.0   160.7   215.1   229.4   332.6   400.3   452.1   497.0   556.8   649.3   939.1  1728.2  5504.4 20788.2  73471.2    73534
read      491.2   684.2   160.7   217.9   235.0   411.4   523.3   590.5   635.7   683.9   745.2   835.9  1270.4  8072.2 31503.1  23444.2    23502
read      498.3   599.7   160.7   218.9   235.6   418.1   534.6   606.6   658.2   716.1   785.5   884.8  1286.2  7792.4 30569.9  25300.6    25272
read      517.7   715.9   160.7   219.1   235.1   404.1   529.9   609.2   673.0   753.0   852.5  1013.5  1638.5  9290.2 31563.8  37337.7    37349
read      428.9   381.5   160.7   219.9   235.4   346.4   401.7   438.0   469.6   515.5   589.8   964.2  1819.3  3222.8 10019.3  93691.4    93647
read      476.4   614.8   160.7   216.2   231.5   379.4   495.8   566.6   622.7   691.2   789.1   947.5  1457.8  6437.8 22050.5  42259.0    42250
read      387.7   370.7   160.7   214.7   228.5   324.3   377.6   410.9   437.8   475.1   532.8   643.0  1668.1  3702.8 10967.4  89612.6    89506
read      355.3   376.0   160.7   212.5   226.0   315.0   368.1   401.4   429.5   464.9   514.1   588.9   783.2  2839.3 12099.5  82836.1    82817
read      470.3   515.2   160.7   214.0   229.1   357.1   466.1   542.4   605.6   688.4   816.2  1053.0  1622.2  5306.9 17011.1  57015.8    57242
read      495.1   786.9   160.7   219.9   237.3   415.8   517.7   572.3   608.8   645.2   690.0   772.3  1985.1  9199.0 32078.0  16889.4    16966
read      423.4   370.3   160.7   217.6   232.0   337.2   393.6   431.0   464.1   510.4   588.5  1089.6  1747.6  2971.1 10169.4  90862.8    90978
read      477.8   495.7   160.7   219.9   236.8   410.6   523.9   587.1   633.9   690.7   766.4   872.2  1168.8  6030.5 16626.2  27179.4    27205
read      485.7   367.1   160.7   219.5   236.4   411.6   534.6   610.3   669.3   741.4   825.5   946.0  1259.2  3603.9 13587.5  34149.1    34184
read      395.2   317.0   160.7   216.8   230.9   332.5   388.1   422.8   451.6   491.0   548.7   677.7  1677.1  2766.5 10106.5  88894.2    88935
read      366.5   202.9   160.7   218.1   232.0   329.2   388.5   425.8   455.6   493.8   544.2   621.4   797.3  1847.1  7811.8  78230.0    78207
read      361.8   223.5   160.7   215.3   229.1   323.2   378.0   412.4   439.7   475.1   526.1   609.7   879.8  2255.3  8303.8  89448.8    89524
read      408.1   365.8   160.7   222.4   238.4   347.9   413.1   456.7   492.5   539.8   613.8   754.6  1150.0  4207.0 14643.7  93306.7    93349
read      408.3   370.9   160.7   217.5   230.8   333.9   414.6   474.3   522.8   578.5   648.4   776.9  1165.7  4164.5 14131.8  60562.5    60534
read      426.6   431.5   160.7   216.7   230.4   340.6   450.3   522.2   568.4   618.3   679.3   792.6  1154.7  5128.1 14615.6  42624.8    42644
read      413.4   353.6   160.7   218.2   231.5   336.7   423.4   487.7   537.6   593.7   664.8   787.9  1156.5  4021.1 12756.0  55842.6    55863
read      462.0   543.3   160.7   224.1   240.9   414.7   507.9   548.9   578.4   612.5   657.8   745.4  1079.5  6779.8 29796.5  19571.2    19588
read      393.8   365.3   160.7   218.6   232.1   332.5   396.5   439.3   474.7   523.3   592.2   727.4  1134.7  3934.0 11106.0  86778.4    86841
read      441.6   413.4   160.7   218.7   232.6   355.6   482.8   550.7   594.0   640.6   703.6   819.1  1156.3  5092.6 16130.4  35276.2    35275
read      399.4   331.5   160.7   220.7   236.1   342.2   404.5   447.0   480.7   527.4   597.6   733.8  1123.0  4027.3 10943.1  95634.8    95712
read      409.3   413.2   160.7   218.8   232.3   335.2   410.3   464.9   509.2   565.6   638.0   772.0  1186.2  4659.6 12220.1  67998.8    67984
read      400.7   330.5   148.8   216.7   230.9   336.6   419.3   481.0   527.0   575.2   630.0   717.6   996.4  3732.3 10690.2  49334.6    49300
read      421.0   273.8   160.7   225.1   243.8   405.5   480.3   514.8   536.8   562.1   592.7   643.6   787.2  3638.6 11018.1  18470.8    18377
read      368.8   208.5   160.7   213.3   227.8   328.4   391.2   434.4   470.4   515.2   567.6   635.2   790.8  1337.1  8173.5  59472.3    59537
read      424.9   304.0   160.7   225.8   245.0   410.3   482.5   516.1   539.0   565.3   595.4   645.3   792.7  3892.0 12963.0  17771.8    17735
read      336.7   167.5   148.8   210.9   224.4   309.6   358.4   387.7   409.7   438.2   477.7   541.6   684.9  1262.3  6161.9  98128.9    98082
read      338.8   175.2   160.7   211.3   224.8   311.0   360.5   390.3   413.1   442.2   483.4   547.4   688.6  1255.0  7614.5  95403.6    95494
read      422.6   320.3   160.7   223.6   241.9   403.4   477.1   512.3   535.7   562.3   594.0   648.9   819.4  4072.4 13503.6  18293.4    18359
read      381.9   233.1   160.7   212.8   227.3   330.8   411.8   471.2   514.4   557.7   603.0   663.7   800.6  1515.4  9466.7  45495.1    45419
read      367.3   203.1   148.8   212.3   226.7   322.4   386.3   433.5   473.2   521.3   573.4   638.2   785.9  1582.7  8088.7  58255.2    58308
read      358.3   212.0   148.8   211.6   225.6   318.6   377.0   417.5   451.2   494.7   548.2   620.9   766.6  1300.0  8085.2  68594.8    68597
read      347.8   178.0   160.7   210.4   224.1   314.7   369.1   402.8   430.8   466.4   515.8   587.7   738.7  1287.9  6647.7  80308.5    80424
read      413.2   278.7   160.7   221.7   239.5   394.4   471.0   505.7   529.4   554.5   587.8   640.1   778.6  2753.3 11781.5  19403.1    19406
read      360.2   199.5   160.7   210.8   225.1   319.7   380.4   423.2   458.8   503.7   557.2   624.7   757.4  1270.9  8379.1  63157.4    63150
read      415.7   291.4   160.7   221.6   238.6   388.8   477.5   517.4   542.5   571.0   604.8   659.6   806.8  2517.2 12389.1  22404.4    22357
read      362.1   187.4   160.7   212.6   227.0   324.3   384.5   425.3   458.4   500.0   549.8   621.0   776.1  1309.9  7887.6  66086.1    65970
read      437.6   373.9   160.7   236.2   258.3   424.1   485.3   516.1   537.2   561.9   592.8   647.4   816.3  4009.8 18008.1  14069.0    14002
read      359.4   188.1   160.7   212.2   226.4   320.8   379.8   420.1   453.4   496.0   548.3   620.6   757.6  1286.3  7810.1  67457.5    67394
read      430.4   277.8   173.5   249.2   276.9   414.0   462.2   489.0   507.5   532.5   563.9   619.4   778.6  4014.8 10811.3   8958.0     8970
read      406.5   241.9   160.7   221.2   238.2   368.2   451.7   502.5   537.5   575.0   617.8   678.4   817.8  1279.1  9923.0  37303.3    37330
read      380.3   219.6   160.7   215.8   230.6   337.5   408.6   458.9   497.2   539.5   586.8   650.1   802.6  1294.1  8833.5  49447.2    49297
read      375.0   222.8   160.7   214.6   229.3   329.7   398.7   450.4   491.4   536.8   586.0   649.7   796.8  1172.3  8674.4  51780.5    51807
read      360.0   202.5   160.7   212.7   227.0   321.8   380.3   419.4   451.6   493.5   545.1   614.7   771.5  1462.6  8168.9  68405.6    68343
read      338.5   159.0   160.7   211.5   224.9   311.2   361.1   390.9   413.8   443.1   484.2   547.4   689.3  1225.8  5323.3  94899.2    94884
read      400.6   244.8   160.7   217.0   232.1   361.5   457.2   503.3   531.7   562.3   598.4   655.2   804.1  2490.1  9909.5  28236.7    28280
read      379.2   225.8   160.7   212.9   227.4   329.5   407.7   466.6   508.9   552.2   597.6   657.7   792.3  1396.2  8314.6  46113.5    46048
read      355.8   180.3   160.7   211.1   225.2   319.2   376.9   415.6   447.6   488.3   539.5   610.5   749.0  1308.8  6471.7  70877.6    70789
read      370.8   201.3   160.7   214.5   229.2   328.6   393.5   439.6   477.4   522.7   574.4   640.8   791.7  1259.3  7628.2  58780.2    58838
read      384.8   220.5   160.7   214.2   229.0   334.5   416.2   475.6   518.4   560.3   606.0   669.6   806.9  1324.4  9522.3  44582.7    44539
read      347.8   170.3   160.7   210.8   224.5   314.2   368.5   402.9   431.5   467.5   517.5   588.2   733.1  1249.4  5725.0  78716.1    78671
read      430.0   397.0   173.5   269.2   296.7   397.2   437.2   461.4   479.3   503.3   536.5   592.7   792.0  7673.1 12740.3   5550.4     5551
read      367.1   208.0   160.7   213.4   227.8   326.3   390.2   434.1   470.3   515.2   566.4   633.6   777.6  1269.7  7940.0  59660.6    59874
read      353.7   174.1   160.7   210.6   224.7   318.0   374.9   412.9   443.8   483.9   535.9   606.6   746.4  1151.7  6491.3  71766.6    71833
read      399.6   294.5   160.7   215.4   230.5   351.3   452.4   504.0   535.8   568.8   606.5   663.6   812.2  2330.5 13569.9  31669.3    31644
read      359.9   188.4   160.7   211.5   225.7   321.2   381.9   422.8   456.1   498.1   549.5   618.4   766.8  1326.1  7644.5  67485.3    67336
read      347.9   175.2   160.7   211.5   225.4   316.0   369.7   402.6   429.9   463.7   509.3   580.3   732.4  1359.9  7649.2  83564.8    83838
read      419.0   279.9   160.7   226.3   245.7   405.5   474.0   505.9   528.3   551.6   584.2   634.0   768.9  3921.6 11981.0  16794.1    16813
read      346.9   177.0   160.7   210.8   224.5   314.2   367.9   401.3   428.8   463.6   511.1   582.7   728.7  1440.5  6678.6  82793.5    82808
read      352.0   235.6   160.7   211.5   225.3   316.9   371.2   403.9   431.1   465.1   511.3   583.2   748.0  2090.4 10178.2  84477.0    84623

Total QPS = 56303.3 (67563944 / 1200.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 16688294415 bytes :   13.3 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.95%,47.45%,100.00%
