Random waveform, random seed
Total number of intervals = 120 (21257, 98472, 99385, 54860, 74812, 34374, 56412, 25022, 13667, 40991, 17264, 68474, 16258, 78637, 98263, 9582, 68051, 22444, 99304, 17067, 85588, 72585, 47753, 39595, 20887, 62903, 63533, 99741, 55201, 7634, 13982, 19855, 97801, 36001, 47073, 19170, 86409, 96132, 93091, 8683, 70231, 96349, 36092, 56170, 45086, 56355, 15811, 70698, 61639, 88560, 55595, 72643, 64080, 72644, 85604, 61949, 87359, 10901, 94842, 72605, 84828, 20798, 80234, 61141, 80390, 21672, 43890, 5333, 11671, 32970, 21506, 19175, 68977, 20688, 50117, 57099, 77177, 76678, 47281, 82491, 74986, 15991, 52696, 88814, 41079, 76563, 17491, 81333, 96770, 86331, 25887, 22408, 77311, 40381, 32535, 25963, 60651, 16279, 42716, 33724, 61095, 70459, 30772, 39467, 55219, 25868, 86768, 52291, 26145, 72902, 44359, 96828, 12564, 28113, 88793, 69276, 6714, 39313, 35453, 51764)
Average QPS expected = 52763
Timestamp start: 1684510768352
Timestamp end: 1684511968760

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      480.0   682.8   160.7   217.1   234.1   409.8   521.8   579.5   617.2   656.0   700.8   777.2  1205.3  8046.6 32080.8  19129.3    19170
read      371.8   340.0   160.7   208.5   221.8   306.9   358.7   392.7   422.1   463.2   525.0   636.9  1649.1  2891.3  9449.1  86337.9    86409
read      334.8   231.0   160.7   208.5   221.4   300.7   347.9   377.9   401.4   432.2   475.2   544.8   706.2  2627.4  8539.5  96261.0    96132
read      334.3   218.8   160.7   208.1   221.1   300.1   347.1   377.6   401.8   433.9   479.5   549.5   710.3  2235.4  8643.0  92977.3    93091
read      482.7   888.7   160.7   239.6   264.7   414.9   476.6   508.4   532.1   558.4   592.8   655.6  1804.0 10689.7 31997.6   8650.7     8683
read      395.7   300.4   148.8   210.4   224.1   319.2   391.0   444.9   491.3   548.0   626.8   800.7  1383.2  2818.2  9566.2  70138.4    70231
read      373.3   339.9   160.7   211.7   225.3   315.5   366.6   398.5   425.6   461.6   513.7   616.9  1604.7  2921.6 11166.8  96521.4    96349
read      477.3   583.0   160.7   215.0   231.5   395.3   503.8   572.0   626.3   687.3   763.7   871.6  1274.9  7231.6 30449.8  36137.0    36092
read      483.0   582.4   160.7   214.3   229.6   368.1   483.7   562.3   627.8   712.8   830.0  1041.1  1647.0  6949.7 30116.4  55975.5    56170
read      474.6   499.8   160.7   213.6   229.5   386.8   500.1   571.9   631.1   702.9   797.3   940.7  1381.1  5106.7 20864.6  45100.2    45086
read      474.9   562.0   160.7   211.1   226.3   364.0   475.6   550.6   614.2   696.1   811.1  1021.5  1618.4  6448.0 24221.1  56341.5    56355
read      471.5   679.9   160.7   219.4   236.6   408.2   504.9   550.6   582.5   616.9   657.3   722.3  1213.8  8713.7 30879.2  15876.4    15811
read      424.9   404.8   160.7   211.6   225.8   331.2   412.0   473.7   526.1   592.2   693.1   921.5  1563.0  3962.4 12406.0  70730.0    70698
read      423.1   373.6   160.7   210.8   225.1   332.5   420.5   485.4   536.0   598.9   690.9   885.8  1451.3  4046.2 11866.9  61642.0    61639
read      348.5   293.0   160.7   208.9   221.9   303.3   353.7   387.0   414.2   450.9   501.2   580.9   952.5  2972.9 11778.2  88675.5    88560
read      447.9   497.6   160.7   211.3   226.0   349.4   451.6   521.2   574.3   640.0   740.1   926.1  1510.5  6266.2 17465.2  55573.4    55595
read      401.2   347.9   148.8   212.0   226.0   321.7   392.0   445.3   490.6   546.9   630.0   821.0  1433.1  3137.7 10998.8  72531.4    72643
read      401.3   380.0   160.7   211.3   225.2   322.4   398.0   456.2   504.1   561.1   634.4   791.9  1314.7  3698.5 12870.8  64141.1    64080
read      398.8   382.3   160.7   210.8   224.6   318.9   387.9   438.8   483.5   540.8   619.5   803.8  1482.3  3475.5 13301.6  72664.8    72644
read      378.6   377.0   160.7   209.8   223.2   309.8   361.9   396.9   428.1   471.8   538.4   661.3  1682.4  3307.6 11515.2  85537.0    85604
