Random waveform, supplied seed
Total number of intervals = 134 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116)
Average QPS expected = 52006
Timestamp start: 1684454673350
Timestamp end: 1684455473764

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      433.4   935.8   160.7   225.8   248.3   361.1   404.7   428.4   445.3   465.1   494.0   545.8  2160.1  8948.4 32251.8   7479.3     7434
read      403.0   357.6   160.7   202.0   212.0   313.9   399.3   463.0   520.3   597.1   693.4   873.0  1312.2  3615.9  9726.7  67193.0    67201
read      346.7   306.8   148.8   201.1   210.8   283.7   336.2   374.3   408.9   456.1   522.0   672.1  1189.2  2542.9  9116.1  86222.0    85927
read      416.6   444.4   160.7   210.6   223.9   328.4   396.2   445.0   486.1   540.0   622.5   914.1  1754.8  3680.2 13511.8  63976.2    63953
read      425.5   405.9   160.7   206.9   220.4   362.5   453.2   508.6   548.6   599.8   658.6   755.1  1228.0  5310.4 11072.3  31670.3    31595
read      335.9   300.6   148.8   202.0   211.4   280.0   324.2   355.8   383.4   423.2   478.6   581.9  1371.6  2781.0 10500.6  88114.5    87879
read      409.3   761.7   160.7   225.9   247.5   356.0   400.1   425.0   442.3   462.9   489.7   530.7   856.0 10758.8 36261.9   7305.5     7287
read      425.8   398.5   160.7   204.3   215.5   324.3   419.1   487.5   546.9   631.4   746.9   983.6  1457.4  3991.5 11928.6  62062.8    62295
read      417.0   846.7   173.5   227.5   251.1   356.8   398.6   421.3   436.1   455.7   479.0   523.3  1090.3 12046.3 31575.9   6560.3     6561
read      438.3   719.3   160.7   205.6   218.3   366.2   458.5   513.1   550.3   591.6   635.8   706.7  1220.2  8054.8 32097.5  22466.2    22532
read      434.8   524.0   160.7   203.5   214.6   330.2   429.0   498.9   560.1   635.8   736.9   939.4  1441.2  6580.1 17189.0  60784.5    60653
read      439.6   587.3   148.8   205.1   216.9   333.3   430.3   501.6   564.2   640.1   741.3   932.2  1430.6  9055.7 28848.4  58968.7    59076
read      428.4   382.5   160.7   205.4   217.3   332.5   429.1   497.3   555.9   634.7   748.1   963.0  1419.5  3706.8 11949.7  60105.5    60154
read      416.0   405.3   160.7   205.9   218.8   363.3   458.3   514.4   551.4   589.1   628.7   685.6   925.1  5246.9 12745.7  22963.0    22964
read      445.6   938.3   173.5   220.8   239.3   367.8   417.7   443.1   460.8   481.5   507.7   555.3  2286.8 10094.1 35201.7   8154.2     8172
read      447.0   655.5   160.7   209.1   223.3   375.7   468.9   525.7   569.0   616.7   673.1   765.6  1164.3  6660.0 32155.8  27666.0    27652
read      433.0   495.9   160.7   207.4   221.1   368.4   459.8   518.7   565.6   618.6   677.9   759.8  1078.3  6759.9 13416.0  37632.8    37594
read      425.8   477.2   148.8   206.7   220.1   367.5   461.6   518.3   557.3   598.6   640.1   703.5   932.1  6188.7 13855.1  24394.3    24367
read      442.0   751.5   160.7   206.8   220.1   371.0   465.4   525.8   573.4   624.7   682.8   770.6  1098.9  7898.4 30239.2  33797.3    33771
read      369.3   326.9   148.8   205.8   217.7   298.5   352.2   391.3   425.5   470.9   540.9   751.6  1472.8  2897.8 12210.7  84925.5    84944
read      339.3   308.9   148.8   202.5   212.0   284.1   334.1   369.0   399.7   441.9   498.2   619.2  1086.4  2962.2 10429.5  85590.5    85666
read      400.2   464.9   148.8   204.1   215.0   320.1   408.2   466.3   509.4   566.6   647.2   785.0  1154.6  5337.2 14610.5  52036.7    51918
read      441.2   593.2   160.7   206.6   220.0   369.8   460.7   520.9   568.1   620.7   679.8   769.3  1149.4  7695.8 29922.3  34485.5    34406
read      431.4   413.7   160.7   207.0   220.2   376.5   470.1   529.9   574.6   621.7   674.6   747.8  1005.8  5176.4 12746.0  28737.7    28664
read      446.1   536.7   160.7   207.1   220.0   368.9   465.7   528.8   581.3   641.6   714.1   838.6  1206.9  6819.6 28538.9  38243.0    38289
read      439.8   783.9   160.7   205.7   218.1   363.6   457.7   509.1   543.0   578.2   618.1   675.5  1336.4  9520.6 32359.4  20613.5    20658
read      416.0   536.3   160.7   208.7   222.2   376.5   457.1   494.3   518.0   542.8   575.5   623.5   817.7  6040.8 30692.4  13870.8    13840
read      362.7   361.0   148.8   204.1   214.6   290.0   336.9   368.8   398.6   442.3   508.3   738.2  1564.2  3033.8 10236.0  93267.5    93419
read      304.5   206.2   148.8   202.9   211.9   275.3   315.6   340.8   361.3   387.8   425.7   483.6   599.1  1974.5  7790.7  98300.2    98284
read      368.1   344.9   148.8   205.9   217.6   299.4   361.0   404.0   443.0   491.0   555.6   708.6  1277.5  3331.1 10200.5  71390.0    71313
read      409.5   491.3   160.7   205.6   217.8   338.5   431.1   486.3   526.7   577.1   640.8   746.2  1080.2  6513.9 28779.0  41969.3    42089
read      442.3   499.7   160.7   207.1   220.0   359.5   462.0   528.3   582.9   647.8   730.5   870.5  1243.1  5736.4 17665.7  46332.7    46458
read      445.3   592.3   160.7   206.9   220.2   373.1   466.1   527.1   573.1   622.2   678.5   764.9  1099.0  8786.0 27146.0  30716.3    30755
read      435.5   435.2   160.7   207.2   220.3   364.6   465.7   532.9   586.8   646.0   719.3   830.1  1168.6  3621.1 13063.9  42855.5    42889
read      384.8   419.3   148.8   205.4   216.9   294.9   338.4   367.2   395.1   439.0   512.7  1082.3  1689.7  3735.5 13844.2  93527.7    93552
read      386.6   441.0   148.8   204.7   215.7   302.2   371.2   425.3   470.4   525.1   603.3   797.9  1401.1  4229.9 16557.1  65789.5    65694
read      427.9   754.1   160.7   205.4   217.8   363.8   453.0   506.8   549.8   596.6   647.2   726.0  1036.1  6902.3 30283.3  29650.7    29574
read      431.8   430.2   160.7   205.0   216.9   345.5   444.9   508.5   566.4   637.6   728.1   892.5  1322.9  4809.4 13582.9  51286.3    51355
read      395.0   334.3   148.8   205.1   216.7   313.5   390.9   447.6   494.2   552.8   641.8   835.8  1364.5  3275.3 10225.3  67275.2    67361
read      466.2   847.4   160.7   210.5   224.4   388.8   478.8   525.4   555.0   588.9   629.4   693.1  2116.3 10701.0 32325.1  16225.7    16287
read      372.6   368.6   148.8   205.3   216.7   297.4   352.8   393.3   429.8   480.4   558.3   774.2  1475.2  3281.0 13658.2  81359.3    81508
read      312.5   181.4   160.7   203.1   212.5   279.5   321.8   350.3   373.2   403.7   448.8   511.2   634.9  2079.7  7959.1  87640.3    87619
read      303.0   190.4   148.8   201.6   210.8   274.2   314.2   339.1   359.1   385.0   422.5   480.8   595.5  1847.0  8198.8  99056.5    99068
read      428.6   493.2   148.8   206.3   218.8   346.8   443.4   505.4   557.9   626.1   709.4   838.8  1217.5  5721.5 23092.4  51262.5    51267
