time,p95,qps
0,0.5396,7441.8
6.5082038233551796,0.8172,67098.3
16.639545597607576,0.6123,85988.0
26.77088737185997,0.8855,64076.1
36.90222914611237,0.739,31585.2
47.03357092036477,0.7657999999999999,87778.9
57.164912694617165,0.5588,7323.9
67.29625446886956,0.9309,62277.0
77.42759624312195,0.5318999999999999,6555.0
87.55893801737435,0.6938,22463.0
97.69027979162674,0.9042,60688.8
107.82162156587913,0.9349,59176.2
117.95296334013152,0.9298,60008.7
128.0843051143839,0.7062,22990.6
138.21564688863631,0.5514,8165.4
148.34698866288872,0.7573,27705.7
158.47833043714112,0.7934,37540.9
168.60967221139353,0.7158,24369.8
178.74101398564594,0.7676000000000001,33721.9
188.87235575989834,0.7292000000000001,84766.6
199.00369753415075,0.6804,85695.3
209.13503930840315,0.8275,51855.3
219.26638108265556,0.7617999999999999,34348.9
229.39772285690796,0.7389,28569.4
239.52906463116037,0.8543,38283.0
249.66040640541277,0.6824,20610.6
259.79174817966515,0.6204,13864.4
269.92308995391755,0.8543999999999999,93183.4
280.05443172816996,0.5077,98165.4
290.18577350242236,0.6715,71365.7
300.31711527667477,0.7914,42063.5
310.4484570509272,0.8387,46491.5
320.5797988251796,0.7343999999999999,30756.5
330.711140599432,0.8084,42975.3
340.8424823736844,0.8412999999999999,93613.9
350.9738241479368,0.9097000000000001,65694.7
361.1051659221892,0.7394,29619.8
371.2365076964416,0.8791,51269.6
381.367849470694,0.8939,67274.0
391.4991912449464,0.6359,16188.1
401.6305330191988,0.7233999999999999,81410.9
411.7618747934512,0.7109,87709.2
421.89321656770363,0.5247999999999999,99307.4
432.02455834195604,0.8597,51340.2
442.15590011620844,0.5885,11814.9
452.28724189046085,0.7198,97552.3
462.41858366471325,1.373,97430.7
472.54992543896566,0.8681,55524.2
482.68126721321806,0.671,85908.2
492.81260898747047,0.7055,82089.9
502.9439507617229,0.8181,52850.2
513.0752925359752,0.6056,13911.8
523.2066343102276,0.8348,49838.1
533.33797608448,0.5542999999999999,9253.8
543.4693178587324,0.7429,27162.9
553.6006596329848,0.6591,18716.1
563.7320014072372,0.8326,86543.1
573.8633431814897,0.6021,92959.7
583.9946849557421,0.6648999999999999,76121.6
594.1260267299945,0.7996,32349.2
604.2573685042469,0.7764,84341.0
614.3887102784993,0.6967000000000001,81764.6
624.5200520527517,0.7634,37287.9
634.6513938270041,0.9339,53851.0
644.7827356012565,0.7592000000000001,30284.0
654.9140773755089,0.6225,31500.4
665.0454191497613,0.5621,39000.8
675.1767609240137,0.5005,10674.4
685.3081026982661,0.48669999999999997,98126.1
695.4394444725185,0.565,48217.6
705.5707862467709,0.5659,34999.7
715.7021280210233,0.5385,69716.5
725.8334697952757,0.5437000000000001,20791.9
735.9648115695281,0.5107,84631.8
