canneal,radix,ferret,freqmine,vips,blackscholes,dedup
0.0,0.24267816543579102,28.108874082565308,234.62610411643982,257.2108449935913,433.0885531902313,595.5710370540619
13.38202714920044,25.71987009048462,233.28571009635925,649.906327009201,268.3182120323181,448.2221751213074,597.614912033081
15.49026107788086,,,,270.42681097984314,458.3602252006531,599.7316341400146
16.530750036239624,,,,271.46182513237,459.3986601829529,600.7701380252838
24.658876180648804,,,,273.56654715538025,461.50025510787964,602.8632731437683
25.68860411643982,,,,274.59453201293945,463.53681802749634,603.922502040863
27.78742218017578,,,,288.73543214797974,467.65465807914734,606.0271220207214
29.15789818763733,,,,289.78775215148926,477.7547311782837,607.0869650840759
31.260050058364868,,,,291.8698570728302,479.8503170013428,609.2025191783905
36.33202004432678,,,,292.9106650352478,480.88272500038147,610.246178150177
38.42675709724426,,,,294.9909071922302,482.9727292060852,612.3431081771851
47.53641605377197,,,,296.0238571166992,484.00746417045593,613.406012058258
49.656153202056885,,,,298.1104621887207,486.1117310523987,615.5072150230408
50.69227409362793,,,,337.420695066452,487.16299700737,616.5546050071716
52.81479001045227,,,,341.5189871788025,489.2596220970154,618.6444191932678
53.846357107162476,,,,342.55100417137146,490.2922520637512,648.4862620830536
55.968209981918335,,,,344.643030166626,492.3906440734863,
188.06685614585876,,,,345.7002592086792,493.42780113220215,
190.17129611968994,,,,347.79404520988464,495.52296209335327,
191.25915217399597,,,,378.05048418045044,496.58240818977356,
193.36986303329468,,,,380.1386651992798,498.66614413261414,
194.40798997879028,,,,386.21516704559326,558.0661540031433,
196.52059602737427,,,,388.2902271747589,560.1674470901489,
197.563903093338,,,,398.3795280456543,561.2106440067291,
199.66613507270813,,,,400.47122716903687,565.3149931430817,
200.69907212257385,,,,401.5022611618042,566.3502991199493,
202.8103470802307,,,,403.5787441730499,568.4368641376495,
203.8445611000061,,,,404.61074113845825,569.4819800853729,
205.96008706092834,,,,406.7083652019501,571.5704400539398,
206.99447298049927,,,,407.7383770942688,572.6023850440979,
209.08737015724182,,,,409.83469915390015,576.7029120922089,
255.911395072937,,,,410.87536811828613,577.7427191734314,
,,,,412.9644811153412,579.8386921882629,
,,,,414.001412153244,580.8916661739349,
,,,,416.2898771762848,582.9782900810242,
,,,,417.34774112701416,584.0144121646881,
,,,,427.4785611629486,586.1038131713867,
,,,,431.5070731639862,594.1598482131958,
