Random waveform, supplied seed
Total number of intervals = 80 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723)
Average QPS expected = 52361
Timestamp start: 1684425771175
Timestamp end: 1684426571551

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      416.5   615.5   160.7   225.9   247.0   372.4   412.0   432.5   448.6   466.4   493.7   539.6  1463.5  8286.3 20272.2   7441.8     7434
read      397.4   353.2   160.7   206.1   218.1   317.3   395.6   450.4   495.2   555.1   647.4   817.2  1353.0  3232.2 12999.1  67098.3    67201
read      359.7   264.0   148.8   209.7   222.7   313.7   371.3   407.8   436.7   473.6   524.7   612.3  1040.8  2703.9  9733.8  85988.0    85927
read      413.7   395.1   160.7   210.5   223.7   327.1   408.1   464.8   508.8   569.4   670.4   885.5  1419.4  4324.4 12528.3  64076.1    63953
read      424.6   422.2   160.7   208.2   221.6   370.1   461.5   514.3   554.9   605.2   662.4   739.0  1004.8  5833.1 13770.0  31585.2    31595
read      372.3   337.3   148.8   206.0   218.1   297.9   354.3   395.7   432.0   481.7   553.2   765.8  1492.6  3044.2 12037.0  87778.9    87879
read      453.9   980.1   173.5   224.9   244.6   375.8   422.0   445.9   462.8   483.7   509.5   558.8  2833.4  9716.4 42079.2   7323.9     7287
read      433.2   406.7   160.7   208.6   221.9   341.3   433.7   499.9   555.2   632.4   736.3   930.9  1427.5  4442.7 13753.0  62277.0    62295
read      422.4   754.5   160.7   226.3   249.0   369.8   408.5   429.3   444.6   463.0   488.1   531.9  1596.9 11006.3 31810.5   6555.0     6561
read      456.3   800.7   160.7   206.4   220.7   371.2   467.4   521.0   555.6   592.0   634.3   693.8  1590.8 10526.6 32255.1  22463.0    22532
read      433.6   428.2   148.8   208.5   222.1   343.4   438.1   504.6   560.1   632.8   728.3   904.2  1373.6  5815.3 12877.1  60688.8    60653
read      432.0   419.5   160.7   207.7   220.5   337.6   432.4   498.8   555.8   634.4   738.0   934.9  1420.3  4659.5 13386.9  59176.2    59076
read      440.4   517.2   160.7   208.0   221.2   342.5   437.6   504.3   560.2   635.4   736.8   929.8  1438.4  6230.6 23898.6  60008.7    60154
read      433.3   501.0   160.7   208.0   221.8   375.4   467.9   522.7   559.5   598.3   641.9   706.2   998.7  6313.2 16224.3  22990.6    22964
read      444.3  1011.0   173.5   221.6   239.2   379.8   427.5   451.9   467.7   488.2   510.7   551.4  1367.6 14043.0 37281.3   8165.4     8172
read      462.5   728.4   160.7   208.6   223.0   382.1   475.8   534.6   578.2   625.4   678.1   757.3  1314.1  9872.5 31717.1  27705.7    27652
read      445.6   539.8   160.7   209.6   223.3   378.9   472.7   534.0   582.6   636.7   697.3   793.4  1099.6  6509.5 30275.1  37540.9    37594
read      439.1   604.8   148.8   208.3   222.5   375.6   470.7   527.3   565.7   606.3   650.9   715.8   987.2  7786.1 31565.1  24369.8    24367
read      447.2   657.5   160.7   208.5   222.1   372.7   460.7   518.3   564.5   617.0   675.4   767.6  1209.2  8049.9 30813.6  33721.9    33771
read      366.6   314.2   160.7   206.8   218.6   296.9   355.2   396.8   432.2   479.1   546.9   729.2  1367.6  3216.6 10270.4  84766.6    84944
read      354.0   284.4   160.7   205.3   216.1   291.2   347.2   387.8   420.7   464.2   527.5   680.4  1210.6  2423.6 10658.3  85695.3    85666
read      419.1   517.6   148.8   207.0   219.3   332.6   423.8   482.0   528.3   589.4   674.3   827.5  1270.8  6406.4 25424.5  51855.3    51918
read      435.8   535.3   160.7   207.9   220.9   370.2   457.1   514.3   561.2   613.1   672.5   761.8  1082.5  7493.7 28805.1  34348.9    34406
read      439.7   581.2   160.7   210.0   224.1   374.4   461.5   517.8   559.3   606.4   660.4   738.9  1155.1  6649.6 30374.4  28569.4    28664
read      451.8   566.2   160.7   209.8   223.3   370.4   466.5   530.1   580.6   640.6   717.0   854.3  1248.8  8844.8 27299.7  38283.0    38289
read      438.7   649.7   160.7   210.7   224.5   371.5   461.8   514.3   546.6   581.9   622.6   682.4  1185.6  7526.9 31110.0  20610.6    20658
read      433.6   779.8   160.7   210.7   224.1   373.6   448.9   486.5   509.6   536.2   568.7   620.4  1279.2 13014.9 31188.1  13864.4    13840
read      379.0   370.6   160.7   207.8   220.0   298.1   350.8   390.0   425.0   474.7   561.2   854.4  1564.7  3177.1 10778.1  93183.4    93419
read      320.5   295.6   148.8   205.1   215.6   282.6   324.8   352.4   373.7   402.3   444.2   507.7   682.2  3383.7 10794.8  98165.4    98284
read      364.5   387.9   148.8   204.8   215.8   295.4   358.8   405.3   445.5   493.3   550.8   671.5  1179.3  4188.4 15424.5  71365.7    71313
read      426.7   501.4   160.7   205.6   218.5   353.4   453.1   510.6   554.7   612.9   682.8   791.4  1130.1  6287.4 22964.6  42063.5    42089
read      439.0   433.3   160.7   209.1   222.7   363.4   464.6   529.9   582.8   645.7   719.3   838.7  1195.8  5372.6 14612.3  46491.5    46458
read      432.6   561.1   160.7   205.5   219.0   366.9   458.5   516.2   559.5   607.3   659.5   734.4  1043.9  6721.7 29067.6  30756.5    30755
read      438.1   497.2   160.7   207.1   220.0   362.0   459.0   520.9   572.1   632.3   700.5   808.4  1185.2  6711.2 19288.7  42975.3    42889
read      381.0   335.4   160.7   208.1   220.5   301.4   352.0   388.1   421.1   469.0   548.2   841.3  1633.3  2933.2  9470.8  93613.9    93552
read      418.9   443.6   148.8   206.7   219.4   327.0   412.3   472.7   524.0   593.5   698.8   909.7  1407.0  4388.3 16843.8  65694.7    65694
read      438.3   552.8   160.7   206.4   219.6   371.3   461.2   518.2   561.8   610.7   664.3   739.4  1080.4  7615.8 24829.8  29619.8    29574
read      430.5   400.2   160.7   206.0   218.6   345.0   447.6   513.3   569.3   638.7   724.1   879.1  1298.5  4666.0 12742.0  51269.6    51355
read      404.6   372.9   160.7   205.5   217.7   314.4   394.7   453.6   501.2   566.3   675.6   893.9  1435.0  3734.6 10842.7  67274.0    67361
read      429.6   734.4   160.7   206.8   220.4   376.4   453.8   494.3   520.7   549.0   584.9   635.9   928.2 10398.2 31665.5  16188.1    16287
read      369.7   294.4   160.7   207.5   219.9   302.9   362.6   403.6   440.5   489.3   556.9   723.4  1297.2  3190.7  9157.8  81410.9    81508
